state size: 2
action size: 2
0 episode | score: 25.00 | loss: 0.00000 | epsilon: 1.00
10 episode | score: 24.75 | loss: 0.00000 | epsilon: 1.00
20 episode | score: 24.29 | loss: 0.00000 | epsilon: 1.00
30 episode | score: 23.60 | loss: 0.00000 | epsilon: 1.00
40 episode | score: 23.35 | loss: 0.00000 | epsilon: 1.00
50 episode | score: 23.35 | loss: 0.99919 | epsilon: 1.00
60 episode | score: 22.67 | loss: 0.88651 | epsilon: 1.00
70 episode | score: 22.43 | loss: 0.90153 | epsilon: 1.00
80 episode | score: 22.25 | loss: 1.08817 | epsilon: 1.00
90 episode | score: 22.48 | loss: 1.01496 | epsilon: 1.00
100 episode | score: 22.16 | loss: 0.91604 | epsilon: 0.99
110 episode | score: 22.13 | loss: 1.11352 | epsilon: 0.99
120 episode | score: 21.95 | loss: 1.43155 | epsilon: 0.99
130 episode | score: 21.94 | loss: 1.28228 | epsilon: 0.99
140 episode | score: 22.22 | loss: 0.58713 | epsilon: 0.99
150 episode | score: 22.06 | loss: 1.66447 | epsilon: 0.99
160 episode | score: 22.50 | loss: 0.67889 | epsilon: 0.99
170 episode | score: 22.54 | loss: 2.11611 | epsilon: 0.99
180 episode | score: 22.36 | loss: 1.64898 | epsilon: 0.98
190 episode | score: 22.25 | loss: 1.34262 | epsilon: 0.98
200 episode | score: 21.72 | loss: 1.88509 | epsilon: 0.98
210 episode | score: 21.54 | loss: 2.29603 | epsilon: 0.98
220 episode | score: 21.50 | loss: 1.79638 | epsilon: 0.98
230 episode | score: 22.38 | loss: 0.24067 | epsilon: 0.98
240 episode | score: 22.47 | loss: 2.77731 | epsilon: 0.98
250 episode | score: 22.43 | loss: 1.83200 | epsilon: 0.98
260 episode | score: 22.07 | loss: 0.23586 | epsilon: 0.98
270 episode | score: 21.89 | loss: 1.04034 | epsilon: 0.97
280 episode | score: 22.01 | loss: 3.48633 | epsilon: 0.97
290 episode | score: 21.63 | loss: 0.02654 | epsilon: 0.97
300 episode | score: 22.21 | loss: 1.08630 | epsilon: 0.97
310 episode | score: 22.18 | loss: 2.73628 | epsilon: 0.97
320 episode | score: 21.86 | loss: 1.68571 | epsilon: 0.97
330 episode | score: 22.13 | loss: 4.83993 | epsilon: 0.97
340 episode | score: 21.91 | loss: 1.25447 | epsilon: 0.97
350 episode | score: 22.39 | loss: 2.64904 | epsilon: 0.97
360 episode | score: 22.04 | loss: 4.05338 | epsilon: 0.96
370 episode | score: 21.98 | loss: 4.13496 | epsilon: 0.96
380 episode | score: 21.47 | loss: 2.86226 | epsilon: 0.96
390 episode | score: 21.52 | loss: 4.34297 | epsilon: 0.96
400 episode | score: 21.42 | loss: 4.91399 | epsilon: 0.96
410 episode | score: 21.52 | loss: 1.63220 | epsilon: 0.96
420 episode | score: 21.12 | loss: 3.38331 | epsilon: 0.96
430 episode | score: 21.02 | loss: 3.29039 | epsilon: 0.96
440 episode | score: 21.01 | loss: 1.65311 | epsilon: 0.96
450 episode | score: 21.33 | loss: 2.07972 | epsilon: 0.95
460 episode | score: 21.23 | loss: 1.96893 | epsilon: 0.95
470 episode | score: 21.03 | loss: 0.28125 | epsilon: 0.95
480 episode | score: 20.71 | loss: 3.88480 | epsilon: 0.95
490 episode | score: 20.44 | loss: 0.00276 | epsilon: 0.95
500 episode | score: 20.09 | loss: 3.60352 | epsilon: 0.95
510 episode | score: 20.53 | loss: 0.18694 | epsilon: 0.95
520 episode | score: 21.00 | loss: 1.87066 | epsilon: 0.95
530 episode | score: 21.24 | loss: 3.83887 | epsilon: 0.95
540 episode | score: 21.36 | loss: 0.00984 | epsilon: 0.94
550 episode | score: 21.10 | loss: 5.86677 | epsilon: 0.94
560 episode | score: 21.32 | loss: 0.28826 | epsilon: 0.94
570 episode | score: 21.54 | loss: 6.04988 | epsilon: 0.94
580 episode | score: 20.92 | loss: 6.28263 | epsilon: 0.94
590 episode | score: 20.77 | loss: 2.21889 | epsilon: 0.94
600 episode | score: 20.95 | loss: 8.32708 | epsilon: 0.94
