state size: 2
action size: 2
0 episode | score: 24.00 | loss: 0.00000 | epsilon: 1.00
10 episode | score: 23.48 | loss: 0.00000 | epsilon: 1.00
20 episode | score: 22.92 | loss: 0.00000 | epsilon: 1.00
30 episode | score: 23.54 | loss: 0.00000 | epsilon: 1.00
40 episode | score: 23.35 | loss: 0.00000 | epsilon: 1.00
50 episode | score: 23.06 | loss: 0.10806 | epsilon: 0.99
60 episode | score: 22.57 | loss: 0.10227 | epsilon: 0.98
70 episode | score: 23.25 | loss: 0.22556 | epsilon: 0.97
80 episode | score: 22.60 | loss: 0.34884 | epsilon: 0.96
90 episode | score: 22.25 | loss: 0.23115 | epsilon: 0.95
100 episode | score: 22.38 | loss: 0.68578 | epsilon: 0.94
110 episode | score: 21.99 | loss: 0.34738 | epsilon: 0.93
120 episode | score: 21.43 | loss: 0.67972 | epsilon: 0.92
130 episode | score: 21.22 | loss: 0.64652 | epsilon: 0.91
140 episode | score: 21.49 | loss: 0.96480 | epsilon: 0.90
150 episode | score: 21.28 | loss: 0.28621 | epsilon: 0.89
160 episode | score: 21.35 | loss: 0.56256 | epsilon: 0.87
170 episode | score: 21.26 | loss: 0.96658 | epsilon: 0.86
180 episode | score: 21.25 | loss: 0.44892 | epsilon: 0.85
190 episode | score: 21.13 | loss: 0.74099 | epsilon: 0.84
200 episode | score: 20.95 | loss: 0.27381 | epsilon: 0.83
210 episode | score: 20.98 | loss: 0.73092 | epsilon: 0.82
220 episode | score: 20.41 | loss: 1.36116 | epsilon: 0.81
230 episode | score: 20.46 | loss: 1.40216 | epsilon: 0.80
240 episode | score: 19.84 | loss: 0.70401 | epsilon: 0.79
250 episode | score: 19.47 | loss: 0.91904 | epsilon: 0.79
260 episode | score: 19.33 | loss: 1.51325 | epsilon: 0.78
270 episode | score: 18.83 | loss: 1.02341 | epsilon: 0.77
280 episode | score: 18.64 | loss: 1.68526 | epsilon: 0.76
290 episode | score: 19.24 | loss: 1.39732 | epsilon: 0.75
300 episode | score: 19.10 | loss: 1.44667 | epsilon: 0.74
310 episode | score: 19.20 | loss: 0.82950 | epsilon: 0.73
320 episode | score: 20.45 | loss: 1.02934 | epsilon: 0.71
330 episode | score: 20.66 | loss: 1.69448 | epsilon: 0.70
340 episode | score: 20.23 | loss: 1.41821 | epsilon: 0.69
350 episode | score: 20.52 | loss: 1.01795 | epsilon: 0.68
360 episode | score: 20.28 | loss: 1.80437 | epsilon: 0.67
370 episode | score: 19.90 | loss: 1.83757 | epsilon: 0.66
380 episode | score: 19.65 | loss: 1.06297 | epsilon: 0.65
390 episode | score: 19.46 | loss: 1.07534 | epsilon: 0.64
400 episode | score: 19.69 | loss: 2.35184 | epsilon: 0.63
410 episode | score: 19.56 | loss: 1.07639 | epsilon: 0.62
420 episode | score: 19.49 | loss: 0.69503 | epsilon: 0.61
430 episode | score: 19.57 | loss: 1.11831 | epsilon: 0.60
440 episode | score: 19.30 | loss: 1.55604 | epsilon: 0.59
450 episode | score: 20.26 | loss: 2.67094 | epsilon: 0.57
460 episode | score: 20.28 | loss: 2.67663 | epsilon: 0.56
470 episode | score: 21.05 | loss: 1.32439 | epsilon: 0.55
480 episode | score: 20.92 | loss: 2.12065 | epsilon: 0.54
490 episode | score: 21.23 | loss: 1.50860 | epsilon: 0.53
500 episode | score: 21.29 | loss: 2.16815 | epsilon: 0.51
510 episode | score: 20.29 | loss: 2.58678 | epsilon: 0.51
520 episode | score: 19.63 | loss: 2.44674 | epsilon: 0.50
530 episode | score: 19.63 | loss: 2.56862 | epsilon: 0.49
540 episode | score: 20.21 | loss: 2.47146 | epsilon: 0.48
550 episode | score: 21.25 | loss: 1.47458 | epsilon: 0.46
560 episode | score: 21.29 | loss: 1.22046 | epsilon: 0.45
570 episode | score: 21.53 | loss: 1.56580 | epsilon: 0.44
580 episode | score: 20.72 | loss: 3.78074 | epsilon: 0.43
590 episode | score: 21.51 | loss: 2.88378 | epsilon: 0.42
600 episode | score: 23.21 | loss: 3.13972 | epsilon: 0.40
610 episode | score: 24.78 | loss: 1.51951 | epsilon: 0.38
620 episode | score: 25.17 | loss: 1.86872 | epsilon: 0.36
630 episode | score: 24.49 | loss: 3.10053 | epsilon: 0.35
640 episode | score: 23.61 | loss: 2.01636 | epsilon: 0.34
650 episode | score: 22.71 | loss: 1.93931 | epsilon: 0.33
660 episode | score: 21.52 | loss: 2.16734 | epsilon: 0.33
670 episode | score: 20.36 | loss: 1.92067 | epsilon: 0.32
680 episode | score: 19.38 | loss: 2.21006 | epsilon: 0.32
690 episode | score: 18.70 | loss: 2.12149 | epsilon: 0.31
700 episode | score: 19.42 | loss: 2.89301 | epsilon: 0.30
710 episode | score: 18.96 | loss: 2.77757 | epsilon: 0.29
720 episode | score: 18.57 | loss: 2.79190 | epsilon: 0.28
730 episode | score: 18.24 | loss: 2.78512 | epsilon: 0.27
740 episode | score: 17.50 | loss: 2.42022 | epsilon: 0.27
750 episode | score: 17.13 | loss: 2.86303 | epsilon: 0.26
760 episode | score: 18.11 | loss: 3.10907 | epsilon: 0.25
770 episode | score: 18.67 | loss: 4.83946 | epsilon: 0.23
780 episode | score: 18.92 | loss: 3.01975 | epsilon: 0.22
790 episode | score: 19.37 | loss: 2.99491 | epsilon: 0.21
800 episode | score: 19.23 | loss: 3.33413 | epsilon: 0.20
810 episode | score: 19.90 | loss: 3.52730 | epsilon: 0.19
820 episode | score: 20.09 | loss: 3.50293 | epsilon: 0.18
830 episode | score: 20.14 | loss: 2.04555 | epsilon: 0.17
840 episode | score: 19.90 | loss: 3.06126 | epsilon: 0.16
850 episode | score: 19.27 | loss: 1.48607 | epsilon: 0.15
860 episode | score: 18.90 | loss: 2.69407 | epsilon: 0.14
870 episode | score: 18.20 | loss: 1.87909 | epsilon: 0.13
880 episode | score: 17.70 | loss: 0.82298 | epsilon: 0.13
890 episode | score: 17.21 | loss: 1.97660 | epsilon: 0.12
900 episode | score: 16.53 | loss: 2.08184 | epsilon: 0.12
910 episode | score: 15.96 | loss: 3.32809 | epsilon: 0.11
920 episode | score: 15.41 | loss: 2.67472 | epsilon: 0.10
930 episode | score: 15.19 | loss: 1.84700 | epsilon: 0.10
940 episode | score: 15.09 | loss: 1.91883 | epsilon: 0.09
950 episode | score: 15.02 | loss: 1.25005 | epsilon: 0.08
960 episode | score: 14.82 | loss: 2.36163 | epsilon: 0.07
970 episode | score: 14.54 | loss: 1.78672 | epsilon: 0.07
980 episode | score: 15.20 | loss: 1.94839 | epsilon: 0.06
990 episode | score: 15.61 | loss: 1.75552 | epsilon: 0.05
1000 episode | score: 16.83 | loss: 1.76615 | epsilon: 0.03
1010 episode | score: 19.98 | loss: 2.08566 | epsilon: 0.01
1020 episode | score: 22.85 | loss: 1.44557 | epsilon: 0.01
1030 episode | score: 24.84 | loss: 2.28752 | epsilon: 0.01
1040 episode | score: 24.92 | loss: 1.64650 | epsilon: 0.01
1050 episode | score: 24.43 | loss: 1.59465 | epsilon: 0.01
1060 episode | score: 24.17 | loss: 2.40379 | epsilon: 0.01
1070 episode | score: 23.02 | loss: 1.62279 | epsilon: 0.01
1080 episode | score: 23.60 | loss: 2.63706 | epsilon: 0.01
1090 episode | score: 24.38 | loss: 3.12121 | epsilon: 0.01
1100 episode | score: 26.75 | loss: 2.25430 | epsilon: 0.01
1110 episode | score: 27.46 | loss: 2.71008 | epsilon: 0.01
1120 episode | score: 27.70 | loss: 3.05569 | epsilon: 0.01
1130 episode | score: 31.20 | loss: 4.20397 | epsilon: 0.01
1140 episode | score: 34.19 | loss: 3.25714 | epsilon: 0.01
1150 episode | score: 38.09 | loss: 2.89784 | epsilon: 0.01
1160 episode | score: 41.11 | loss: 2.86864 | epsilon: 0.01
1170 episode | score: 46.84 | loss: 2.92208 | epsilon: 0.01
1180 episode | score: 47.10 | loss: 2.86121 | epsilon: 0.01
1190 episode | score: 48.88 | loss: 3.26064 | epsilon: 0.01
1200 episode | score: 55.00 | loss: 2.42637 | epsilon: 0.01
1210 episode | score: 55.02 | loss: 3.97816 | epsilon: 0.01
1220 episode | score: 54.07 | loss: 3.40718 | epsilon: 0.01
1230 episode | score: 57.58 | loss: 3.71520 | epsilon: 0.01
1240 episode | score: 60.04 | loss: 3.10577 | epsilon: 0.01
1250 episode | score: 58.80 | loss: 4.67052 | epsilon: 0.01
1260 episode | score: 59.47 | loss: 3.23387 | epsilon: 0.01
1270 episode | score: 58.95 | loss: 3.46922 | epsilon: 0.01
1280 episode | score: 58.95 | loss: 4.30775 | epsilon: 0.01
1290 episode | score: 60.79 | loss: 3.15328 | epsilon: 0.01
1300 episode | score: 62.75 | loss: 3.76615 | epsilon: 0.01
1310 episode | score: 64.02 | loss: 1.97438 | epsilon: 0.01
1320 episode | score: 62.94 | loss: 2.08467 | epsilon: 0.01
1330 episode | score: 62.43 | loss: 2.67392 | epsilon: 0.01
1340 episode | score: 62.27 | loss: 2.75480 | epsilon: 0.01
1350 episode | score: 61.06 | loss: 2.63595 | epsilon: 0.01
1360 episode | score: 61.84 | loss: 2.81919 | epsilon: 0.01
1370 episode | score: 60.98 | loss: 2.89279 | epsilon: 0.01
1380 episode | score: 60.34 | loss: 3.70728 | epsilon: 0.01
1390 episode | score: 56.63 | loss: 3.78527 | epsilon: 0.01
1400 episode | score: 55.80 | loss: 3.03325 | epsilon: 0.01
1410 episode | score: 60.75 | loss: 3.64751 | epsilon: 0.01
1420 episode | score: 61.85 | loss: 7.15018 | epsilon: 0.01
1430 episode | score: 61.76 | loss: 6.58253 | epsilon: 0.01
1440 episode | score: 63.30 | loss: 6.91774 | epsilon: 0.01
1450 episode | score: 59.37 | loss: 5.56860 | epsilon: 0.01
1460 episode | score: 59.15 | loss: 5.54285 | epsilon: 0.01
1470 episode | score: 56.07 | loss: 6.02573 | epsilon: 0.01
1480 episode | score: 55.38 | loss: 5.23652 | epsilon: 0.01
1490 episode | score: 52.72 | loss: 4.14229 | epsilon: 0.01
1500 episode | score: 51.50 | loss: 6.00108 | epsilon: 0.01
1510 episode | score: 49.34 | loss: 4.73353 | epsilon: 0.01
1520 episode | score: 46.27 | loss: 5.45133 | epsilon: 0.01
1530 episode | score: 43.44 | loss: 6.77755 | epsilon: 0.01
1540 episode | score: 40.61 | loss: 5.87135 | epsilon: 0.01
1550 episode | score: 38.15 | loss: 6.78094 | epsilon: 0.01
1560 episode | score: 37.24 | loss: 6.86302 | epsilon: 0.01
1570 episode | score: 36.45 | loss: 7.36229 | epsilon: 0.01
1580 episode | score: 35.04 | loss: 8.53548 | epsilon: 0.01
1590 episode | score: 34.51 | loss: 9.24533 | epsilon: 0.01
1600 episode | score: 33.19 | loss: 9.18961 | epsilon: 0.01
1610 episode | score: 32.32 | loss: 7.63766 | epsilon: 0.01
1620 episode | score: 30.74 | loss: 9.88788 | epsilon: 0.01
1630 episode | score: 30.17 | loss: 8.18602 | epsilon: 0.01
1640 episode | score: 30.39 | loss: 9.71988 | epsilon: 0.01
1650 episode | score: 30.27 | loss: 7.86834 | epsilon: 0.01
1660 episode | score: 28.77 | loss: 8.26131 | epsilon: 0.01
1670 episode | score: 28.60 | loss: 5.51742 | epsilon: 0.01
1680 episode | score: 28.49 | loss: 6.98318 | epsilon: 0.01
1690 episode | score: 27.57 | loss: 4.35409 | epsilon: 0.01
1700 episode | score: 26.80 | loss: 4.81197 | epsilon: 0.01
1710 episode | score: 26.91 | loss: 4.41870 | epsilon: 0.01
1720 episode | score: 26.66 | loss: 3.24622 | epsilon: 0.01
1730 episode | score: 27.41 | loss: 3.72963 | epsilon: 0.01
1740 episode | score: 28.14 | loss: 2.38667 | epsilon: 0.01
1750 episode | score: 30.03 | loss: 1.97196 | epsilon: 0.01
1760 episode | score: 30.99 | loss: 2.46874 | epsilon: 0.01
1770 episode | score: 31.32 | loss: 2.23460 | epsilon: 0.01
1780 episode | score: 30.98 | loss: 2.06332 | epsilon: 0.01
1790 episode | score: 30.48 | loss: 3.21154 | epsilon: 0.01
1800 episode | score: 31.03 | loss: 3.07375 | epsilon: 0.01
1810 episode | score: 31.90 | loss: 4.20708 | epsilon: 0.01
1820 episode | score: 32.51 | loss: 2.66128 | epsilon: 0.01
1830 episode | score: 31.42 | loss: 4.74117 | epsilon: 0.01
1840 episode | score: 31.03 | loss: 3.11128 | epsilon: 0.01
1850 episode | score: 29.89 | loss: 4.92052 | epsilon: 0.01
1860 episode | score: 29.30 | loss: 5.88389 | epsilon: 0.01
1870 episode | score: 29.56 | loss: 5.41685 | epsilon: 0.01
1880 episode | score: 30.42 | loss: 6.99690 | epsilon: 0.01
1890 episode | score: 32.54 | loss: 6.43372 | epsilon: 0.01
1900 episode | score: 32.97 | loss: 4.08394 | epsilon: 0.01
1910 episode | score: 34.17 | loss: 5.53531 | epsilon: 0.01
1920 episode | score: 32.81 | loss: 3.76151 | epsilon: 0.01
1930 episode | score: 31.44 | loss: 5.00763 | epsilon: 0.01
1940 episode | score: 30.31 | loss: 5.62169 | epsilon: 0.01
1950 episode | score: 29.29 | loss: 5.32564 | epsilon: 0.01
1960 episode | score: 28.75 | loss: 5.67433 | epsilon: 0.01
1970 episode | score: 28.81 | loss: 4.54246 | epsilon: 0.01
1980 episode | score: 28.36 | loss: 6.77244 | epsilon: 0.01
1990 episode | score: 29.92 | loss: 5.65133 | epsilon: 0.01
2000 episode | score: 33.22 | loss: 6.32437 | epsilon: 0.01
2010 episode | score: 34.46 | loss: 8.13094 | epsilon: 0.01
2020 episode | score: 35.02 | loss: 6.73950 | epsilon: 0.01
2030 episode | score: 34.06 | loss: 6.23580 | epsilon: 0.01
2040 episode | score: 33.79 | loss: 7.19615 | epsilon: 0.01
2050 episode | score: 33.39 | loss: 4.80795 | epsilon: 0.01
2060 episode | score: 32.21 | loss: 5.82414 | epsilon: 0.01
2070 episode | score: 30.46 | loss: 6.96278 | epsilon: 0.01
2080 episode | score: 29.28 | loss: 4.97858 | epsilon: 0.01
2090 episode | score: 28.60 | loss: 6.00832 | epsilon: 0.01
2100 episode | score: 27.62 | loss: 6.65189 | epsilon: 0.01
2110 episode | score: 26.97 | loss: 6.42742 | epsilon: 0.01
2120 episode | score: 26.53 | loss: 4.91614 | epsilon: 0.01
2130 episode | score: 25.55 | loss: 5.58220 | epsilon: 0.01
2140 episode | score: 24.59 | loss: 5.41397 | epsilon: 0.01
2150 episode | score: 23.94 | loss: 5.48796 | epsilon: 0.01
2160 episode | score: 23.03 | loss: 5.43426 | epsilon: 0.01
2170 episode | score: 22.97 | loss: 5.40013 | epsilon: 0.01
2180 episode | score: 23.23 | loss: 6.99933 | epsilon: 0.01
2190 episode | score: 23.44 | loss: 6.44516 | epsilon: 0.01
2200 episode | score: 23.38 | loss: 6.54433 | epsilon: 0.01
2210 episode | score: 22.81 | loss: 8.59081 | epsilon: 0.01
2220 episode | score: 22.35 | loss: 6.62217 | epsilon: 0.01
2230 episode | score: 22.12 | loss: 6.63081 | epsilon: 0.01
2240 episode | score: 21.68 | loss: 7.95029 | epsilon: 0.01
2250 episode | score: 21.09 | loss: 7.04797 | epsilon: 0.01
2260 episode | score: 20.95 | loss: 8.96272 | epsilon: 0.01
2270 episode | score: 20.75 | loss: 7.94287 | epsilon: 0.01
2280 episode | score: 20.17 | loss: 6.91683 | epsilon: 0.01
2290 episode | score: 20.71 | loss: 5.96013 | epsilon: 0.01
2300 episode | score: 21.75 | loss: 5.28746 | epsilon: 0.01
2310 episode | score: 21.25 | loss: 5.88095 | epsilon: 0.01
2320 episode | score: 22.32 | loss: 6.96697 | epsilon: 0.01
2330 episode | score: 21.50 | loss: 5.62016 | epsilon: 0.01
2340 episode | score: 21.01 | loss: 4.77635 | epsilon: 0.01
2350 episode | score: 20.36 | loss: 4.79581 | epsilon: 0.01
2360 episode | score: 19.81 | loss: 5.21493 | epsilon: 0.01
2370 episode | score: 18.97 | loss: 4.97344 | epsilon: 0.01
2380 episode | score: 18.04 | loss: 5.41460 | epsilon: 0.01
2390 episode | score: 17.61 | loss: 5.89414 | epsilon: 0.01
2400 episode | score: 17.40 | loss: 4.02609 | epsilon: 0.01
2410 episode | score: 16.96 | loss: 5.15048 | epsilon: 0.01
2420 episode | score: 16.24 | loss: 4.88884 | epsilon: 0.01
2430 episode | score: 15.51 | loss: 3.14657 | epsilon: 0.01
2440 episode | score: 14.97 | loss: 4.97542 | epsilon: 0.01
2450 episode | score: 16.22 | loss: 3.72999 | epsilon: 0.01
2460 episode | score: 16.95 | loss: 3.09926 | epsilon: 0.01
2470 episode | score: 16.63 | loss: 4.25441 | epsilon: 0.01
2480 episode | score: 16.93 | loss: 4.08636 | epsilon: 0.01
2490 episode | score: 17.34 | loss: 3.82855 | epsilon: 0.01
2500 episode | score: 16.99 | loss: 7.10768 | epsilon: 0.01
2510 episode | score: 19.08 | loss: 8.49676 | epsilon: 0.01
2520 episode | score: 19.10 | loss: 7.62043 | epsilon: 0.01
2530 episode | score: 19.34 | loss: 5.93488 | epsilon: 0.01
2540 episode | score: 19.87 | loss: 9.40468 | epsilon: 0.01
