state size: 2
action size: 2
0 episode | score: 16.00 | loss: 0.00000 | epsilon: 1.00
10 episode | score: 16.44 | loss: 0.00000 | epsilon: 1.00
20 episode | score: 17.71 | loss: 0.00000 | epsilon: 1.00
30 episode | score: 18.49 | loss: 0.00000 | epsilon: 1.00
40 episode | score: 18.33 | loss: 0.00000 | epsilon: 1.00
50 episode | score: 19.01 | loss: 0.10614 | epsilon: 0.99
60 episode | score: 20.30 | loss: 0.01191 | epsilon: 0.97
70 episode | score: 20.29 | loss: 0.53444 | epsilon: 0.96
80 episode | score: 20.40 | loss: 0.22452 | epsilon: 0.95
90 episode | score: 20.79 | loss: 0.25983 | epsilon: 0.94
100 episode | score: 20.67 | loss: 0.12886 | epsilon: 0.93
110 episode | score: 20.63 | loss: 0.18045 | epsilon: 0.92
120 episode | score: 20.60 | loss: 0.94427 | epsilon: 0.90
130 episode | score: 20.45 | loss: 1.24589 | epsilon: 0.89
140 episode | score: 20.47 | loss: 1.13826 | epsilon: 0.88
150 episode | score: 20.42 | loss: 0.42106 | epsilon: 0.87
160 episode | score: 21.24 | loss: 0.94591 | epsilon: 0.86
170 episode | score: 20.82 | loss: 0.41906 | epsilon: 0.85
180 episode | score: 20.46 | loss: 1.71119 | epsilon: 0.84
190 episode | score: 20.20 | loss: 0.38844 | epsilon: 0.83
200 episode | score: 19.90 | loss: 1.15460 | epsilon: 0.82
210 episode | score: 19.86 | loss: 0.72263 | epsilon: 0.81
220 episode | score: 19.71 | loss: 0.14784 | epsilon: 0.80
230 episode | score: 19.89 | loss: 1.12843 | epsilon: 0.79
240 episode | score: 19.77 | loss: 1.56710 | epsilon: 0.78
250 episode | score: 19.49 | loss: 0.11213 | epsilon: 0.77
260 episode | score: 19.16 | loss: 1.05881 | epsilon: 0.76
270 episode | score: 18.85 | loss: 0.97225 | epsilon: 0.76
280 episode | score: 19.34 | loss: 0.71049 | epsilon: 0.74
290 episode | score: 19.04 | loss: 1.50069 | epsilon: 0.73
300 episode | score: 18.77 | loss: 1.21782 | epsilon: 0.73
310 episode | score: 18.48 | loss: 2.14182 | epsilon: 0.72
320 episode | score: 18.55 | loss: 1.24951 | epsilon: 0.71
330 episode | score: 18.58 | loss: 1.35359 | epsilon: 0.70
340 episode | score: 18.73 | loss: 0.13012 | epsilon: 0.69
350 episode | score: 18.40 | loss: 2.41546 | epsilon: 0.68
360 episode | score: 18.11 | loss: 0.92827 | epsilon: 0.67
370 episode | score: 17.75 | loss: 1.31487 | epsilon: 0.66
380 episode | score: 18.10 | loss: 1.66256 | epsilon: 0.65
390 episode | score: 17.68 | loss: 0.56256 | epsilon: 0.64
400 episode | score: 17.23 | loss: 2.19088 | epsilon: 0.64
410 episode | score: 17.11 | loss: 1.58577 | epsilon: 0.63
420 episode | score: 17.11 | loss: 1.36966 | epsilon: 0.62
430 episode | score: 16.73 | loss: 2.81253 | epsilon: 0.61
440 episode | score: 16.70 | loss: 1.97401 | epsilon: 0.60
450 episode | score: 16.61 | loss: 3.71511 | epsilon: 0.60
460 episode | score: 16.22 | loss: 3.76667 | epsilon: 0.59
470 episode | score: 16.10 | loss: 2.35951 | epsilon: 0.58
480 episode | score: 16.15 | loss: 1.55173 | epsilon: 0.57
490 episode | score: 16.12 | loss: 2.47333 | epsilon: 0.56
500 episode | score: 15.74 | loss: 2.41962 | epsilon: 0.56
510 episode | score: 16.10 | loss: 3.93623 | epsilon: 0.55
520 episode | score: 16.39 | loss: 2.11556 | epsilon: 0.54
530 episode | score: 15.94 | loss: 1.31344 | epsilon: 0.53
540 episode | score: 16.06 | loss: 2.18421 | epsilon: 0.52
550 episode | score: 16.07 | loss: 3.26836 | epsilon: 0.51
560 episode | score: 15.89 | loss: 1.83448 | epsilon: 0.50
570 episode | score: 16.04 | loss: 1.31873 | epsilon: 0.50
580 episode | score: 15.84 | loss: 2.30137 | epsilon: 0.49
590 episode | score: 16.03 | loss: 2.31850 | epsilon: 0.48
600 episode | score: 16.04 | loss: 3.85137 | epsilon: 0.47
610 episode | score: 16.76 | loss: 1.30640 | epsilon: 0.46
620 episode | score: 16.97 | loss: 3.82967 | epsilon: 0.45
630 episode | score: 18.51 | loss: 5.08410 | epsilon: 0.43
640 episode | score: 19.40 | loss: 1.37997 | epsilon: 0.42
650 episode | score: 19.32 | loss: 2.14551 | epsilon: 0.41
660 episode | score: 21.31 | loss: 2.07282 | epsilon: 0.39
670 episode | score: 23.26 | loss: 2.30631 | epsilon: 0.36
680 episode | score: 22.99 | loss: 0.65292 | epsilon: 0.35
690 episode | score: 22.67 | loss: 2.42767 | epsilon: 0.34
700 episode | score: 21.85 | loss: 0.93366 | epsilon: 0.34
