state size: 2
action size: 2
0 episode | score: 32.00 | loss: 0.00000 | epsilon: 1.00
10 episode | score: 30.87 | loss: 0.00000 | epsilon: 1.00
20 episode | score: 30.24 | loss: 0.00000 | epsilon: 1.00
30 episode | score: 28.93 | loss: 0.00000 | epsilon: 1.00
40 episode | score: 28.30 | loss: 0.00000 | epsilon: 1.00
50 episode | score: 27.23 | loss: 0.05319 | epsilon: 1.00
60 episode | score: 27.02 | loss: 0.13065 | epsilon: 0.98
70 episode | score: 26.82 | loss: 0.32826 | epsilon: 0.97
80 episode | score: 26.48 | loss: 0.69614 | epsilon: 0.96
90 episode | score: 26.12 | loss: 0.14522 | epsilon: 0.95
100 episode | score: 25.91 | loss: 0.38161 | epsilon: 0.93
110 episode | score: 25.00 | loss: 1.30573 | epsilon: 0.92
120 episode | score: 25.07 | loss: 0.65013 | epsilon: 0.91
130 episode | score: 25.26 | loss: 0.37596 | epsilon: 0.90
140 episode | score: 24.40 | loss: 0.56329 | epsilon: 0.89
150 episode | score: 24.20 | loss: 0.95584 | epsilon: 0.88
160 episode | score: 23.70 | loss: 0.67680 | epsilon: 0.87
170 episode | score: 22.91 | loss: 0.46943 | epsilon: 0.86
180 episode | score: 22.32 | loss: 1.60042 | epsilon: 0.85
190 episode | score: 22.14 | loss: 1.15117 | epsilon: 0.84
200 episode | score: 21.97 | loss: 0.62060 | epsilon: 0.83
210 episode | score: 22.66 | loss: 1.20299 | epsilon: 0.81
220 episode | score: 22.77 | loss: 0.35525 | epsilon: 0.80
230 episode | score: 22.32 | loss: 1.22706 | epsilon: 0.79
240 episode | score: 21.72 | loss: 1.55575 | epsilon: 0.78
250 episode | score: 20.99 | loss: 0.70206 | epsilon: 0.78
260 episode | score: 21.23 | loss: 0.50026 | epsilon: 0.76
270 episode | score: 20.78 | loss: 1.87878 | epsilon: 0.75
280 episode | score: 20.15 | loss: 1.50608 | epsilon: 0.75
290 episode | score: 19.77 | loss: 0.56862 | epsilon: 0.74
300 episode | score: 19.53 | loss: 1.39103 | epsilon: 0.73
310 episode | score: 19.29 | loss: 2.35908 | epsilon: 0.72
320 episode | score: 19.24 | loss: 1.40923 | epsilon: 0.71
330 episode | score: 19.49 | loss: 0.86997 | epsilon: 0.70
340 episode | score: 19.47 | loss: 2.26113 | epsilon: 0.69
350 episode | score: 19.63 | loss: 1.91759 | epsilon: 0.68
360 episode | score: 19.24 | loss: 1.09567 | epsilon: 0.67
370 episode | score: 19.34 | loss: 1.52730 | epsilon: 0.66
380 episode | score: 19.09 | loss: 1.01212 | epsilon: 0.65
390 episode | score: 19.33 | loss: 1.83140 | epsilon: 0.64
400 episode | score: 21.12 | loss: 1.56631 | epsilon: 0.62
410 episode | score: 21.06 | loss: 0.72687 | epsilon: 0.61
420 episode | score: 20.95 | loss: 1.52592 | epsilon: 0.60
430 episode | score: 21.83 | loss: 1.23819 | epsilon: 0.58
440 episode | score: 21.92 | loss: 1.16769 | epsilon: 0.57
450 episode | score: 23.82 | loss: 1.66451 | epsilon: 0.55
460 episode | score: 24.72 | loss: 0.72708 | epsilon: 0.53
470 episode | score: 23.48 | loss: 0.39422 | epsilon: 0.53
480 episode | score: 22.71 | loss: 1.11698 | epsilon: 0.52
490 episode | score: 21.75 | loss: 1.17113 | epsilon: 0.51
500 episode | score: 21.60 | loss: 1.65513 | epsilon: 0.50
510 episode | score: 21.34 | loss: 1.33956 | epsilon: 0.49
520 episode | score: 22.86 | loss: 1.90591 | epsilon: 0.47
530 episode | score: 22.57 | loss: 1.34061 | epsilon: 0.46
540 episode | score: 22.50 | loss: 1.65517 | epsilon: 0.45
550 episode | score: 22.33 | loss: 2.97653 | epsilon: 0.44
560 episode | score: 21.45 | loss: 0.92599 | epsilon: 0.43
570 episode | score: 20.91 | loss: 0.91585 | epsilon: 0.42
580 episode | score: 20.17 | loss: 1.96959 | epsilon: 0.42
590 episode | score: 19.67 | loss: 3.52154 | epsilon: 0.41
600 episode | score: 19.89 | loss: 0.75965 | epsilon: 0.40
610 episode | score: 20.36 | loss: 0.74940 | epsilon: 0.38
620 episode | score: 19.56 | loss: 2.94677 | epsilon: 0.38
630 episode | score: 20.06 | loss: 1.85889 | epsilon: 0.36
640 episode | score: 20.34 | loss: 1.29566 | epsilon: 0.35
650 episode | score: 20.03 | loss: 0.72731 | epsilon: 0.34
660 episode | score: 20.59 | loss: 3.05251 | epsilon: 0.33
670 episode | score: 20.60 | loss: 3.09536 | epsilon: 0.32
680 episode | score: 21.05 | loss: 2.64718 | epsilon: 0.30
690 episode | score: 21.02 | loss: 1.52671 | epsilon: 0.29
700 episode | score: 21.59 | loss: 2.20632 | epsilon: 0.28
710 episode | score: 21.70 | loss: 2.81703 | epsilon: 0.27
720 episode | score: 22.52 | loss: 1.09696 | epsilon: 0.25
730 episode | score: 23.86 | loss: 1.10361 | epsilon: 0.23
740 episode | score: 23.96 | loss: 2.89792 | epsilon: 0.22
750 episode | score: 23.54 | loss: 1.75166 | epsilon: 0.21
760 episode | score: 23.33 | loss: 1.07393 | epsilon: 0.20
770 episode | score: 22.25 | loss: 0.96475 | epsilon: 0.19
780 episode | score: 21.16 | loss: 0.49795 | epsilon: 0.19
790 episode | score: 20.35 | loss: 1.85693 | epsilon: 0.18
800 episode | score: 19.91 | loss: 2.16429 | epsilon: 0.17
810 episode | score: 21.66 | loss: 1.37358 | epsilon: 0.15
820 episode | score: 22.55 | loss: 1.65003 | epsilon: 0.14
830 episode | score: 23.64 | loss: 4.17474 | epsilon: 0.12
840 episode | score: 22.52 | loss: 1.70548 | epsilon: 0.11
850 episode | score: 22.49 | loss: 1.38701 | epsilon: 0.10
860 episode | score: 21.95 | loss: 2.36361 | epsilon: 0.09
870 episode | score: 20.80 | loss: 1.87942 | epsilon: 0.09
880 episode | score: 19.76 | loss: 1.92434 | epsilon: 0.08
890 episode | score: 19.07 | loss: 3.11794 | epsilon: 0.07
900 episode | score: 19.35 | loss: 2.04474 | epsilon: 0.06
910 episode | score: 18.80 | loss: 4.80832 | epsilon: 0.05
920 episode | score: 18.17 | loss: 3.62718 | epsilon: 0.05
930 episode | score: 17.29 | loss: 6.13283 | epsilon: 0.04
940 episode | score: 16.86 | loss: 5.24034 | epsilon: 0.04
950 episode | score: 16.95 | loss: 2.76395 | epsilon: 0.03
960 episode | score: 16.68 | loss: 3.75731 | epsilon: 0.02
970 episode | score: 15.92 | loss: 4.63123 | epsilon: 0.01
980 episode | score: 15.25 | loss: 2.52637 | epsilon: 0.01
990 episode | score: 14.58 | loss: 1.79704 | epsilon: 0.01
1000 episode | score: 14.04 | loss: 2.26755 | epsilon: 0.01
1010 episode | score: 13.46 | loss: 1.54972 | epsilon: 0.01
1020 episode | score: 13.78 | loss: 1.36889 | epsilon: 0.01
1030 episode | score: 13.65 | loss: 0.93834 | epsilon: 0.01
1040 episode | score: 13.17 | loss: 1.26900 | epsilon: 0.01
1050 episode | score: 12.90 | loss: 1.05689 | epsilon: 0.01
1060 episode | score: 12.68 | loss: 1.37616 | epsilon: 0.01
1070 episode | score: 13.33 | loss: 1.13951 | epsilon: 0.01
1080 episode | score: 12.84 | loss: 1.44103 | epsilon: 0.01
1090 episode | score: 12.41 | loss: 1.02338 | epsilon: 0.01
1100 episode | score: 12.07 | loss: 1.67582 | epsilon: 0.01
1110 episode | score: 11.73 | loss: 1.95983 | epsilon: 0.01
1120 episode | score: 11.48 | loss: 1.23253 | epsilon: 0.01
1130 episode | score: 11.45 | loss: 0.62437 | epsilon: 0.01
1140 episode | score: 11.78 | loss: 1.48731 | epsilon: 0.01
1150 episode | score: 12.38 | loss: 3.07509 | epsilon: 0.01
1160 episode | score: 12.06 | loss: 2.92635 | epsilon: 0.01
1170 episode | score: 12.07 | loss: 2.54129 | epsilon: 0.01
1180 episode | score: 12.55 | loss: 2.45948 | epsilon: 0.01
1190 episode | score: 13.24 | loss: 2.64572 | epsilon: 0.01
1200 episode | score: 12.78 | loss: 2.09861 | epsilon: 0.01
1210 episode | score: 13.26 | loss: 2.35097 | epsilon: 0.01
1220 episode | score: 12.84 | loss: 2.12636 | epsilon: 0.01
1230 episode | score: 13.98 | loss: 1.58424 | epsilon: 0.01
1240 episode | score: 13.72 | loss: 2.45320 | epsilon: 0.01
1250 episode | score: 13.42 | loss: 2.95801 | epsilon: 0.01
1260 episode | score: 12.97 | loss: 2.10096 | epsilon: 0.01
1270 episode | score: 13.02 | loss: 2.74322 | epsilon: 0.01
1280 episode | score: 13.35 | loss: 2.74599 | epsilon: 0.01
1290 episode | score: 12.89 | loss: 2.19336 | epsilon: 0.01
1300 episode | score: 13.03 | loss: 1.82382 | epsilon: 0.01
1310 episode | score: 13.09 | loss: 1.76754 | epsilon: 0.01
1320 episode | score: 12.82 | loss: 2.66565 | epsilon: 0.01
1330 episode | score: 12.67 | loss: 1.52929 | epsilon: 0.01
1340 episode | score: 12.76 | loss: 0.91201 | epsilon: 0.01
1350 episode | score: 12.95 | loss: 1.87985 | epsilon: 0.01
1360 episode | score: 12.77 | loss: 1.94076 | epsilon: 0.01
1370 episode | score: 12.98 | loss: 1.81410 | epsilon: 0.01
1380 episode | score: 12.79 | loss: 1.92684 | epsilon: 0.01
1390 episode | score: 13.11 | loss: 2.57809 | epsilon: 0.01
1400 episode | score: 12.86 | loss: 2.14162 | epsilon: 0.01
1410 episode | score: 12.50 | loss: 1.25112 | epsilon: 0.01
1420 episode | score: 12.23 | loss: 1.28744 | epsilon: 0.01
1430 episode | score: 11.99 | loss: 1.72245 | epsilon: 0.01
1440 episode | score: 11.75 | loss: 1.48126 | epsilon: 0.01
1450 episode | score: 11.51 | loss: 0.91300 | epsilon: 0.01
1460 episode | score: 11.28 | loss: 1.13200 | epsilon: 0.01
1470 episode | score: 11.09 | loss: 1.04552 | epsilon: 0.01
1480 episode | score: 10.92 | loss: 1.25936 | epsilon: 0.01
1490 episode | score: 10.79 | loss: 0.80560 | epsilon: 0.01
1500 episode | score: 10.64 | loss: 0.63148 | epsilon: 0.01
1510 episode | score: 10.52 | loss: 0.62579 | epsilon: 0.01
1520 episode | score: 10.42 | loss: 0.60630 | epsilon: 0.01
1530 episode | score: 10.34 | loss: 0.42919 | epsilon: 0.01
1540 episode | score: 10.23 | loss: 0.75715 | epsilon: 0.01
1550 episode | score: 10.09 | loss: 0.85847 | epsilon: 0.01
1560 episode | score: 10.01 | loss: 0.62376 | epsilon: 0.01
1570 episode | score: 9.92 | loss: 0.55328 | epsilon: 0.01
1580 episode | score: 10.05 | loss: 1.27975 | epsilon: 0.01
1590 episode | score: 10.25 | loss: 0.69280 | epsilon: 0.01
1600 episode | score: 10.31 | loss: 0.69503 | epsilon: 0.01
1610 episode | score: 10.26 | loss: 0.55513 | epsilon: 0.01
1620 episode | score: 10.20 | loss: 0.68062 | epsilon: 0.01
1630 episode | score: 10.10 | loss: 0.65133 | epsilon: 0.01
1640 episode | score: 10.03 | loss: 0.54323 | epsilon: 0.01
1650 episode | score: 10.00 | loss: 0.71350 | epsilon: 0.01
1660 episode | score: 10.30 | loss: 0.58112 | epsilon: 0.01
1670 episode | score: 10.80 | loss: 0.41240 | epsilon: 0.01
1680 episode | score: 11.35 | loss: 0.76771 | epsilon: 0.01
1690 episode | score: 11.29 | loss: 0.50487 | epsilon: 0.01
1700 episode | score: 11.10 | loss: 0.54299 | epsilon: 0.01
1710 episode | score: 11.27 | loss: 0.44793 | epsilon: 0.01
1720 episode | score: 11.81 | loss: 0.73761 | epsilon: 0.01
