state size: 2
action size: 2
0 episode | score: 21.00 | loss: 0.00000 | epsilon: 1.00
10 episode | score: 20.96 | loss: 0.00000 | epsilon: 1.00
20 episode | score: 20.74 | loss: 0.00000 | epsilon: 1.00
30 episode | score: 21.32 | loss: 0.00000 | epsilon: 1.00
40 episode | score: 21.30 | loss: 0.00000 | epsilon: 1.00
50 episode | score: 21.32 | loss: 0.12494 | epsilon: 0.99
60 episode | score: 21.28 | loss: 0.13065 | epsilon: 0.98
70 episode | score: 21.59 | loss: 0.26331 | epsilon: 0.97
80 episode | score: 21.54 | loss: 0.06410 | epsilon: 0.96
90 episode | score: 21.02 | loss: 0.17379 | epsilon: 0.95
100 episode | score: 20.89 | loss: 0.51764 | epsilon: 0.94
110 episode | score: 21.03 | loss: 0.54145 | epsilon: 0.93
120 episode | score: 20.77 | loss: 0.86984 | epsilon: 0.92
130 episode | score: 20.59 | loss: 0.20401 | epsilon: 0.91
140 episode | score: 21.17 | loss: 0.24127 | epsilon: 0.89
150 episode | score: 20.46 | loss: 0.39601 | epsilon: 0.89
160 episode | score: 20.47 | loss: 0.41627 | epsilon: 0.88
170 episode | score: 20.81 | loss: 0.66734 | epsilon: 0.86
180 episode | score: 20.67 | loss: 0.91335 | epsilon: 0.85
190 episode | score: 20.47 | loss: 1.18509 | epsilon: 0.84
200 episode | score: 20.98 | loss: 1.06382 | epsilon: 0.83
210 episode | score: 21.77 | loss: 0.59437 | epsilon: 0.81
220 episode | score: 21.55 | loss: 0.59339 | epsilon: 0.80
230 episode | score: 21.59 | loss: 1.17238 | epsilon: 0.79
240 episode | score: 21.35 | loss: 1.20873 | epsilon: 0.78
250 episode | score: 20.83 | loss: 0.05833 | epsilon: 0.77
260 episode | score: 20.76 | loss: 0.99572 | epsilon: 0.76
270 episode | score: 20.61 | loss: 1.66400 | epsilon: 0.75
280 episode | score: 21.10 | loss: 0.45072 | epsilon: 0.74
290 episode | score: 21.42 | loss: 0.72571 | epsilon: 0.73
300 episode | score: 20.94 | loss: 1.10599 | epsilon: 0.72
310 episode | score: 21.22 | loss: 0.40100 | epsilon: 0.71
320 episode | score: 21.19 | loss: 0.78178 | epsilon: 0.70
330 episode | score: 20.79 | loss: 2.69212 | epsilon: 0.69
340 episode | score: 20.73 | loss: 1.19997 | epsilon: 0.68
350 episode | score: 20.54 | loss: 0.42472 | epsilon: 0.67
360 episode | score: 20.33 | loss: 0.43453 | epsilon: 0.66
370 episode | score: 20.10 | loss: 0.85835 | epsilon: 0.65
380 episode | score: 20.22 | loss: 1.28385 | epsilon: 0.64
390 episode | score: 19.61 | loss: 0.47136 | epsilon: 0.63
400 episode | score: 19.93 | loss: 1.76091 | epsilon: 0.62
410 episode | score: 20.27 | loss: 2.30934 | epsilon: 0.60
420 episode | score: 19.88 | loss: 2.36865 | epsilon: 0.59
430 episode | score: 19.63 | loss: 1.84405 | epsilon: 0.59
440 episode | score: 19.30 | loss: 1.41989 | epsilon: 0.58
450 episode | score: 18.62 | loss: 0.48912 | epsilon: 0.57
460 episode | score: 18.05 | loss: 1.45394 | epsilon: 0.56
470 episode | score: 17.77 | loss: 1.01078 | epsilon: 0.56
480 episode | score: 17.36 | loss: 1.95200 | epsilon: 0.55
490 episode | score: 16.83 | loss: 1.95511 | epsilon: 0.54
500 episode | score: 16.72 | loss: 2.07467 | epsilon: 0.53
510 episode | score: 16.63 | loss: 2.51130 | epsilon: 0.53
520 episode | score: 16.57 | loss: 3.51992 | epsilon: 0.52
530 episode | score: 16.92 | loss: 4.61643 | epsilon: 0.51
540 episode | score: 16.41 | loss: 3.26759 | epsilon: 0.50
550 episode | score: 16.72 | loss: 4.22791 | epsilon: 0.49
560 episode | score: 17.05 | loss: 2.65086 | epsilon: 0.48
570 episode | score: 16.59 | loss: 3.17366 | epsilon: 0.47
580 episode | score: 16.34 | loss: 1.80297 | epsilon: 0.46
590 episode | score: 16.24 | loss: 1.09296 | epsilon: 0.46
600 episode | score: 15.85 | loss: 3.24726 | epsilon: 0.45
610 episode | score: 15.53 | loss: 4.36065 | epsilon: 0.44
620 episode | score: 15.64 | loss: 2.81037 | epsilon: 0.43
630 episode | score: 15.51 | loss: 2.22702 | epsilon: 0.43
640 episode | score: 15.46 | loss: 2.28287 | epsilon: 0.42
650 episode | score: 15.15 | loss: 2.27961 | epsilon: 0.41
660 episode | score: 15.35 | loss: 2.82823 | epsilon: 0.40
670 episode | score: 14.94 | loss: 3.45791 | epsilon: 0.40
680 episode | score: 14.55 | loss: 2.88071 | epsilon: 0.39
690 episode | score: 14.30 | loss: 2.88437 | epsilon: 0.38
700 episode | score: 14.20 | loss: 2.34074 | epsilon: 0.38
710 episode | score: 13.91 | loss: 4.06448 | epsilon: 0.37
720 episode | score: 13.84 | loss: 3.58162 | epsilon: 0.36
730 episode | score: 13.49 | loss: 1.78119 | epsilon: 0.36
740 episode | score: 13.53 | loss: 2.95448 | epsilon: 0.35
750 episode | score: 13.15 | loss: 2.96639 | epsilon: 0.35
760 episode | score: 13.43 | loss: 3.59416 | epsilon: 0.34
770 episode | score: 13.17 | loss: 1.20836 | epsilon: 0.33
780 episode | score: 13.01 | loss: 4.78889 | epsilon: 0.33
790 episode | score: 12.99 | loss: 4.84344 | epsilon: 0.32
800 episode | score: 12.78 | loss: 1.82502 | epsilon: 0.31
810 episode | score: 12.68 | loss: 6.67286 | epsilon: 0.31
820 episode | score: 12.46 | loss: 1.84013 | epsilon: 0.30
830 episode | score: 13.15 | loss: 5.51109 | epsilon: 0.29
840 episode | score: 12.85 | loss: 5.63518 | epsilon: 0.28
850 episode | score: 12.89 | loss: 3.74254 | epsilon: 0.28
860 episode | score: 12.65 | loss: 4.37036 | epsilon: 0.27
870 episode | score: 12.62 | loss: 3.14334 | epsilon: 0.27
880 episode | score: 12.55 | loss: 5.11216 | epsilon: 0.26
890 episode | score: 12.24 | loss: 4.41962 | epsilon: 0.25
900 episode | score: 12.23 | loss: 5.09165 | epsilon: 0.25
910 episode | score: 12.11 | loss: 5.07642 | epsilon: 0.24
920 episode | score: 11.94 | loss: 4.43827 | epsilon: 0.24
930 episode | score: 11.73 | loss: 6.97180 | epsilon: 0.23
940 episode | score: 11.53 | loss: 5.86489 | epsilon: 0.22
950 episode | score: 11.39 | loss: 5.19568 | epsilon: 0.22
960 episode | score: 11.24 | loss: 7.70984 | epsilon: 0.21
970 episode | score: 11.20 | loss: 5.80304 | epsilon: 0.21
980 episode | score: 11.66 | loss: 5.24795 | epsilon: 0.20
990 episode | score: 11.42 | loss: 5.90977 | epsilon: 0.19
1000 episode | score: 11.22 | loss: 3.26386 | epsilon: 0.19
1010 episode | score: 11.15 | loss: 7.18909 | epsilon: 0.18
1020 episode | score: 11.03 | loss: 5.88403 | epsilon: 0.18
1030 episode | score: 10.86 | loss: 5.28317 | epsilon: 0.17
1040 episode | score: 10.74 | loss: 7.23439 | epsilon: 0.17
1050 episode | score: 10.56 | loss: 7.89468 | epsilon: 0.16
1060 episode | score: 10.49 | loss: 7.96061 | epsilon: 0.16
1070 episode | score: 10.33 | loss: 6.62946 | epsilon: 0.15
1080 episode | score: 10.28 | loss: 7.93479 | epsilon: 0.15
1090 episode | score: 10.57 | loss: 8.63225 | epsilon: 0.14
1100 episode | score: 10.52 | loss: 6.12925 | epsilon: 0.13
1110 episode | score: 10.31 | loss: 4.05030 | epsilon: 0.13
1120 episode | score: 10.16 | loss: 6.83749 | epsilon: 0.12
1130 episode | score: 10.25 | loss: 6.74951 | epsilon: 0.12
1140 episode | score: 10.37 | loss: 6.06576 | epsilon: 0.11
1150 episode | score: 10.26 | loss: 6.73673 | epsilon: 0.11
1160 episode | score: 10.23 | loss: 6.74529 | epsilon: 0.10
1170 episode | score: 10.22 | loss: 8.10608 | epsilon: 0.10
1180 episode | score: 10.06 | loss: 8.78829 | epsilon: 0.09
1190 episode | score: 10.00 | loss: 8.12166 | epsilon: 0.09
1200 episode | score: 9.95 | loss: 8.14971 | epsilon: 0.08
1210 episode | score: 9.94 | loss: 7.47524 | epsilon: 0.08
1220 episode | score: 9.77 | loss: 8.87012 | epsilon: 0.07
1230 episode | score: 9.81 | loss: 4.11322 | epsilon: 0.07
1240 episode | score: 9.65 | loss: 9.55529 | epsilon: 0.06
1250 episode | score: 9.59 | loss: 7.53394 | epsilon: 0.06
1260 episode | score: 9.52 | loss: 5.47745 | epsilon: 0.05
1270 episode | score: 9.44 | loss: 8.96674 | epsilon: 0.05
1280 episode | score: 9.81 | loss: 9.69322 | epsilon: 0.04
1290 episode | score: 9.65 | loss: 4.15783 | epsilon: 0.03
1300 episode | score: 9.58 | loss: 7.06649 | epsilon: 0.03
1310 episode | score: 9.54 | loss: 7.65880 | epsilon: 0.02
1320 episode | score: 9.41 | loss: 7.74817 | epsilon: 0.02
1330 episode | score: 9.34 | loss: 7.74973 | epsilon: 0.01
1340 episode | score: 9.25 | loss: 8.37979 | epsilon: 0.01
1350 episode | score: 9.20 | loss: 7.64794 | epsilon: 0.01
1360 episode | score: 9.16 | loss: 13.24160 | epsilon: 0.01
1370 episode | score: 9.11 | loss: 9.75682 | epsilon: 0.01
1380 episode | score: 9.15 | loss: 7.03971 | epsilon: 0.01
1390 episode | score: 9.08 | loss: 7.71366 | epsilon: 0.01
1400 episode | score: 9.13 | loss: 11.21983 | epsilon: 0.01
1410 episode | score: 9.04 | loss: 11.23451 | epsilon: 0.01
1420 episode | score: 9.01 | loss: 6.33937 | epsilon: 0.01
1430 episode | score: 8.93 | loss: 7.11611 | epsilon: 0.01
1440 episode | score: 8.85 | loss: 12.66293 | epsilon: 0.01
1450 episode | score: 8.81 | loss: 10.55220 | epsilon: 0.01
1460 episode | score: 8.79 | loss: 9.18106 | epsilon: 0.01
1470 episode | score: 8.76 | loss: 11.31221 | epsilon: 0.01
1480 episode | score: 8.75 | loss: 8.49157 | epsilon: 0.01
1490 episode | score: 8.77 | loss: 7.81996 | epsilon: 0.01
1500 episode | score: 8.72 | loss: 12.06588 | epsilon: 0.01
1510 episode | score: 8.78 | loss: 9.32470 | epsilon: 0.01
1520 episode | score: 8.76 | loss: 12.09021 | epsilon: 0.01
1530 episode | score: 8.72 | loss: 7.13991 | epsilon: 0.01
1540 episode | score: 8.65 | loss: 11.45438 | epsilon: 0.01
1550 episode | score: 8.62 | loss: 8.64568 | epsilon: 0.01
1560 episode | score: 8.62 | loss: 7.22120 | epsilon: 0.01
1570 episode | score: 8.63 | loss: 5.76618 | epsilon: 0.01
1580 episode | score: 8.63 | loss: 10.17529 | epsilon: 0.01
1590 episode | score: 8.65 | loss: 7.94844 | epsilon: 0.01
1600 episode | score: 8.62 | loss: 9.36637 | epsilon: 0.01
1610 episode | score: 8.59 | loss: 10.79890 | epsilon: 0.01
1620 episode | score: 8.57 | loss: 8.65811 | epsilon: 0.01
1630 episode | score: 8.56 | loss: 10.83473 | epsilon: 0.01
1640 episode | score: 8.90 | loss: 10.93063 | epsilon: 0.01
1650 episode | score: 8.99 | loss: 13.74893 | epsilon: 0.01
1660 episode | score: 8.96 | loss: 8.70530 | epsilon: 0.01
1670 episode | score: 8.98 | loss: 9.46762 | epsilon: 0.01
1680 episode | score: 8.95 | loss: 7.37468 | epsilon: 0.01
1690 episode | score: 8.90 | loss: 3.67320 | epsilon: 0.01
1700 episode | score: 8.89 | loss: 10.23026 | epsilon: 0.01
1710 episode | score: 8.84 | loss: 11.70730 | epsilon: 0.01
1720 episode | score: 8.78 | loss: 5.85139 | epsilon: 0.01
1730 episode | score: 8.75 | loss: 11.75461 | epsilon: 0.01
1740 episode | score: 8.72 | loss: 9.58267 | epsilon: 0.01
1750 episode | score: 8.78 | loss: 10.97702 | epsilon: 0.01
1760 episode | score: 8.76 | loss: 10.28451 | epsilon: 0.01
1770 episode | score: 9.18 | loss: 13.91956 | epsilon: 0.01
1780 episode | score: 9.15 | loss: 8.86558 | epsilon: 0.01
1790 episode | score: 9.41 | loss: 10.27811 | epsilon: 0.01
1800 episode | score: 9.34 | loss: 5.93619 | epsilon: 0.01
1810 episode | score: 9.23 | loss: 8.81983 | epsilon: 0.01
1820 episode | score: 9.15 | loss: 8.83106 | epsilon: 0.01
1830 episode | score: 9.23 | loss: 11.10988 | epsilon: 0.01
1840 episode | score: 9.15 | loss: 8.85159 | epsilon: 0.01
1850 episode | score: 9.09 | loss: 12.58249 | epsilon: 0.01
1860 episode | score: 9.05 | loss: 9.61852 | epsilon: 0.01
1870 episode | score: 8.98 | loss: 8.87381 | epsilon: 0.01
1880 episode | score: 8.90 | loss: 10.43737 | epsilon: 0.01
1890 episode | score: 8.86 | loss: 11.14335 | epsilon: 0.01
1900 episode | score: 8.82 | loss: 11.12453 | epsilon: 0.01
1910 episode | score: 8.86 | loss: 10.44158 | epsilon: 0.01
1920 episode | score: 8.84 | loss: 12.64781 | epsilon: 0.01
1930 episode | score: 8.86 | loss: 11.15122 | epsilon: 0.01
1940 episode | score: 8.83 | loss: 11.15670 | epsilon: 0.01
1950 episode | score: 8.78 | loss: 8.95111 | epsilon: 0.01
1960 episode | score: 8.75 | loss: 10.43592 | epsilon: 0.01
1970 episode | score: 8.72 | loss: 7.49042 | epsilon: 0.01
1980 episode | score: 8.70 | loss: 12.69947 | epsilon: 0.01
1990 episode | score: 8.68 | loss: 14.24218 | epsilon: 0.01
2000 episode | score: 8.65 | loss: 9.06082 | epsilon: 0.01
2010 episode | score: 8.57 | loss: 9.78840 | epsilon: 0.01
2020 episode | score: 8.71 | loss: 11.30073 | epsilon: 0.01
2030 episode | score: 8.88 | loss: 12.03438 | epsilon: 0.01
2040 episode | score: 8.82 | loss: 8.31563 | epsilon: 0.01
2050 episode | score: 8.77 | loss: 13.61250 | epsilon: 0.01
2060 episode | score: 8.76 | loss: 10.57885 | epsilon: 0.01
2070 episode | score: 8.70 | loss: 7.57164 | epsilon: 0.01
2080 episode | score: 8.84 | loss: 11.41372 | epsilon: 0.01
2090 episode | score: 8.83 | loss: 9.85300 | epsilon: 0.01
2100 episode | score: 8.80 | loss: 9.90245 | epsilon: 0.01
2110 episode | score: 8.80 | loss: 9.11386 | epsilon: 0.01
2120 episode | score: 8.80 | loss: 11.46561 | epsilon: 0.01
2130 episode | score: 8.89 | loss: 9.88510 | epsilon: 0.01
2140 episode | score: 8.84 | loss: 11.45000 | epsilon: 0.01
2150 episode | score: 8.91 | loss: 9.92751 | epsilon: 0.01
2160 episode | score: 8.85 | loss: 12.21367 | epsilon: 0.01
2170 episode | score: 8.95 | loss: 13.72579 | epsilon: 0.01
2180 episode | score: 8.88 | loss: 11.49756 | epsilon: 0.01
2190 episode | score: 8.99 | loss: 9.18024 | epsilon: 0.01
2200 episode | score: 8.90 | loss: 9.31785 | epsilon: 0.01
2210 episode | score: 8.91 | loss: 9.93547 | epsilon: 0.01
2220 episode | score: 8.85 | loss: 9.92336 | epsilon: 0.01
2230 episode | score: 8.91 | loss: 7.66453 | epsilon: 0.01
2240 episode | score: 9.03 | loss: 8.46121 | epsilon: 0.01
2250 episode | score: 8.97 | loss: 13.07337 | epsilon: 0.01
2260 episode | score: 8.93 | loss: 9.23427 | epsilon: 0.01
2270 episode | score: 8.94 | loss: 9.31744 | epsilon: 0.01
2280 episode | score: 8.98 | loss: 9.97877 | epsilon: 0.01
2290 episode | score: 8.94 | loss: 8.58323 | epsilon: 0.01
2300 episode | score: 8.88 | loss: 9.21149 | epsilon: 0.01
2310 episode | score: 8.88 | loss: 12.25584 | epsilon: 0.01
2320 episode | score: 8.95 | loss: 9.25100 | epsilon: 0.01
2330 episode | score: 8.89 | loss: 6.96148 | epsilon: 0.01
2340 episode | score: 8.85 | loss: 10.03903 | epsilon: 0.01
2350 episode | score: 8.82 | loss: 10.77144 | epsilon: 0.01
2360 episode | score: 8.97 | loss: 8.43672 | epsilon: 0.01
2370 episode | score: 9.06 | loss: 13.85954 | epsilon: 0.01
2380 episode | score: 9.01 | loss: 9.24928 | epsilon: 0.01
2390 episode | score: 8.97 | loss: 12.36560 | epsilon: 0.01
2400 episode | score: 8.95 | loss: 6.94651 | epsilon: 0.01
2410 episode | score: 8.90 | loss: 12.32122 | epsilon: 0.01
2420 episode | score: 8.85 | loss: 12.33952 | epsilon: 0.01
2430 episode | score: 8.91 | loss: 9.31118 | epsilon: 0.01
2440 episode | score: 8.92 | loss: 10.07508 | epsilon: 0.01
2450 episode | score: 8.93 | loss: 9.35474 | epsilon: 0.01
2460 episode | score: 8.87 | loss: 10.87870 | epsilon: 0.01
2470 episode | score: 8.82 | loss: 8.50910 | epsilon: 0.01
2480 episode | score: 8.91 | loss: 10.12521 | epsilon: 0.01
2490 episode | score: 8.88 | loss: 11.73552 | epsilon: 0.01
2500 episode | score: 8.80 | loss: 8.57602 | epsilon: 0.01
2510 episode | score: 8.79 | loss: 10.88338 | epsilon: 0.01
2520 episode | score: 8.89 | loss: 8.54393 | epsilon: 0.01
2530 episode | score: 8.89 | loss: 10.91774 | epsilon: 0.01
2540 episode | score: 9.12 | loss: 10.86364 | epsilon: 0.01
2550 episode | score: 9.05 | loss: 15.57212 | epsilon: 0.01
2560 episode | score: 9.01 | loss: 7.00552 | epsilon: 0.01
2570 episode | score: 8.98 | loss: 9.33577 | epsilon: 0.01
2580 episode | score: 9.01 | loss: 9.40912 | epsilon: 0.01
2590 episode | score: 8.98 | loss: 8.62148 | epsilon: 0.01
2600 episode | score: 8.91 | loss: 7.81482 | epsilon: 0.01
2610 episode | score: 8.90 | loss: 10.24356 | epsilon: 0.01
2620 episode | score: 8.90 | loss: 7.01662 | epsilon: 0.01
2630 episode | score: 9.20 | loss: 7.82972 | epsilon: 0.01
2640 episode | score: 9.32 | loss: 13.31156 | epsilon: 0.01
2650 episode | score: 9.25 | loss: 13.25241 | epsilon: 0.01
2660 episode | score: 9.18 | loss: 9.42001 | epsilon: 0.01
2670 episode | score: 9.17 | loss: 6.25177 | epsilon: 0.01
2680 episode | score: 9.25 | loss: 13.35298 | epsilon: 0.01
2690 episode | score: 9.13 | loss: 11.79432 | epsilon: 0.01
2700 episode | score: 9.02 | loss: 13.34889 | epsilon: 0.01
2710 episode | score: 8.97 | loss: 7.13101 | epsilon: 0.01
2720 episode | score: 9.04 | loss: 8.60090 | epsilon: 0.01
2730 episode | score: 8.98 | loss: 7.03793 | epsilon: 0.01
2740 episode | score: 8.90 | loss: 10.19670 | epsilon: 0.01
2750 episode | score: 8.93 | loss: 10.17758 | epsilon: 0.01
2760 episode | score: 8.89 | loss: 10.98469 | epsilon: 0.01
2770 episode | score: 8.79 | loss: 6.37543 | epsilon: 0.01
2780 episode | score: 8.78 | loss: 9.44218 | epsilon: 0.01
2790 episode | score: 8.72 | loss: 8.68750 | epsilon: 0.01
2800 episode | score: 8.67 | loss: 11.84710 | epsilon: 0.01
2810 episode | score: 8.63 | loss: 10.20570 | epsilon: 0.01
2820 episode | score: 8.63 | loss: 12.58235 | epsilon: 0.01
2830 episode | score: 8.69 | loss: 11.04398 | epsilon: 0.01
2840 episode | score: 8.67 | loss: 10.31757 | epsilon: 0.01
2850 episode | score: 8.63 | loss: 10.31371 | epsilon: 0.01
2860 episode | score: 8.77 | loss: 14.91368 | epsilon: 0.01
2870 episode | score: 8.82 | loss: 15.00642 | epsilon: 0.01
2880 episode | score: 8.80 | loss: 12.59427 | epsilon: 0.01
2890 episode | score: 8.82 | loss: 13.39069 | epsilon: 0.01
2900 episode | score: 8.84 | loss: 11.82799 | epsilon: 0.01
