state size: 2
action size: 2
0 episode | score: 32.00 | loss: 0.00000 | epsilon: 1.00
10 episode | score: 31.12 | loss: 0.00000 | epsilon: 1.00
20 episode | score: 30.21 | loss: 0.00000 | epsilon: 1.00
30 episode | score: 30.61 | loss: 0.00000 | epsilon: 1.00
40 episode | score: 29.51 | loss: 0.06586 | epsilon: 1.00
50 episode | score: 28.31 | loss: 0.09956 | epsilon: 0.99
60 episode | score: 27.83 | loss: 0.14824 | epsilon: 0.98
70 episode | score: 27.25 | loss: 0.07272 | epsilon: 0.97
80 episode | score: 27.04 | loss: 0.31313 | epsilon: 0.95
90 episode | score: 26.41 | loss: 0.35273 | epsilon: 0.94
100 episode | score: 25.93 | loss: 0.40288 | epsilon: 0.93
110 episode | score: 25.92 | loss: 0.16842 | epsilon: 0.92
120 episode | score: 25.31 | loss: 0.48182 | epsilon: 0.91
130 episode | score: 24.77 | loss: 0.27194 | epsilon: 0.90
140 episode | score: 24.51 | loss: 0.78972 | epsilon: 0.88
150 episode | score: 24.07 | loss: 0.68198 | epsilon: 0.87
160 episode | score: 23.37 | loss: 0.69038 | epsilon: 0.87
170 episode | score: 23.06 | loss: 2.69547 | epsilon: 0.85
180 episode | score: 23.21 | loss: 0.15883 | epsilon: 0.84
190 episode | score: 22.84 | loss: 1.03926 | epsilon: 0.83
200 episode | score: 22.71 | loss: 1.32800 | epsilon: 0.82
210 episode | score: 22.22 | loss: 0.57571 | epsilon: 0.81
220 episode | score: 21.57 | loss: 0.69956 | epsilon: 0.80
230 episode | score: 21.81 | loss: 0.80062 | epsilon: 0.79
240 episode | score: 21.48 | loss: 1.64376 | epsilon: 0.78
250 episode | score: 21.44 | loss: 1.91289 | epsilon: 0.77
260 episode | score: 21.02 | loss: 0.98468 | epsilon: 0.76
270 episode | score: 20.75 | loss: 0.77506 | epsilon: 0.75
280 episode | score: 20.06 | loss: 0.95136 | epsilon: 0.74
290 episode | score: 20.32 | loss: 1.50053 | epsilon: 0.73
300 episode | score: 19.78 | loss: 2.43349 | epsilon: 0.72
310 episode | score: 19.37 | loss: 0.52558 | epsilon: 0.72
320 episode | score: 18.63 | loss: 1.89486 | epsilon: 0.71
330 episode | score: 18.53 | loss: 2.38743 | epsilon: 0.70
340 episode | score: 18.26 | loss: 0.54080 | epsilon: 0.69
350 episode | score: 18.55 | loss: 1.38174 | epsilon: 0.68
360 episode | score: 18.09 | loss: 1.43595 | epsilon: 0.67
370 episode | score: 18.08 | loss: 2.75566 | epsilon: 0.66
380 episode | score: 17.74 | loss: 0.66532 | epsilon: 0.66
390 episode | score: 17.63 | loss: 2.29597 | epsilon: 0.65
400 episode | score: 18.78 | loss: 0.64879 | epsilon: 0.63
410 episode | score: 18.46 | loss: 1.49920 | epsilon: 0.62
420 episode | score: 18.72 | loss: 1.49059 | epsilon: 0.61
430 episode | score: 19.05 | loss: 0.99890 | epsilon: 0.60
440 episode | score: 18.89 | loss: 1.95001 | epsilon: 0.59
450 episode | score: 18.74 | loss: 1.45962 | epsilon: 0.58
460 episode | score: 18.48 | loss: 2.64194 | epsilon: 0.57
470 episode | score: 18.24 | loss: 1.56408 | epsilon: 0.57
480 episode | score: 18.54 | loss: 1.89631 | epsilon: 0.55
490 episode | score: 18.20 | loss: 0.76214 | epsilon: 0.55
500 episode | score: 18.76 | loss: 2.39828 | epsilon: 0.53
510 episode | score: 18.19 | loss: 1.53877 | epsilon: 0.53
520 episode | score: 17.63 | loss: 1.52832 | epsilon: 0.52
530 episode | score: 17.29 | loss: 1.63686 | epsilon: 0.51
540 episode | score: 17.01 | loss: 2.28725 | epsilon: 0.51
550 episode | score: 17.18 | loss: 1.69418 | epsilon: 0.50
560 episode | score: 17.39 | loss: 2.12840 | epsilon: 0.49
570 episode | score: 17.16 | loss: 3.06019 | epsilon: 0.48
580 episode | score: 17.43 | loss: 0.70328 | epsilon: 0.47
590 episode | score: 18.36 | loss: 1.93626 | epsilon: 0.45
600 episode | score: 19.08 | loss: 4.10332 | epsilon: 0.44
610 episode | score: 18.88 | loss: 2.14472 | epsilon: 0.43
620 episode | score: 19.20 | loss: 1.38248 | epsilon: 0.42
630 episode | score: 18.75 | loss: 1.55501 | epsilon: 0.41
640 episode | score: 18.17 | loss: 2.27036 | epsilon: 0.40
650 episode | score: 17.80 | loss: 2.64979 | epsilon: 0.40
660 episode | score: 17.56 | loss: 3.60616 | epsilon: 0.39
670 episode | score: 17.12 | loss: 2.19400 | epsilon: 0.38
680 episode | score: 16.65 | loss: 2.25910 | epsilon: 0.37
690 episode | score: 16.47 | loss: 2.20285 | epsilon: 0.37
700 episode | score: 16.00 | loss: 3.66679 | epsilon: 0.36
710 episode | score: 15.49 | loss: 3.06884 | epsilon: 0.35
