state size: 2
action size: 2
0 episode | score: 8.00 | loss: 0.00000 | epsilon: 1.00
10 episode | score: 9.13 | loss: 0.00000 | epsilon: 1.00
20 episode | score: 10.31 | loss: 0.00000 | epsilon: 1.00
30 episode | score: 11.71 | loss: 0.00000 | epsilon: 1.00
40 episode | score: 13.58 | loss: 0.12996 | epsilon: 1.00
50 episode | score: 14.71 | loss: 0.07606 | epsilon: 0.99
60 episode | score: 14.95 | loss: 0.21895 | epsilon: 0.98
70 episode | score: 15.12 | loss: 0.27029 | epsilon: 0.97
80 episode | score: 15.23 | loss: 0.34730 | epsilon: 0.96
90 episode | score: 15.58 | loss: 0.49427 | epsilon: 0.95
100 episode | score: 16.63 | loss: 0.20933 | epsilon: 0.94
110 episode | score: 16.62 | loss: 0.41930 | epsilon: 0.93
120 episode | score: 17.41 | loss: 0.09308 | epsilon: 0.91
130 episode | score: 18.06 | loss: 0.23279 | epsilon: 0.90
140 episode | score: 17.91 | loss: 0.53426 | epsilon: 0.89
150 episode | score: 17.71 | loss: 0.40645 | epsilon: 0.88
160 episode | score: 17.85 | loss: 1.31565 | epsilon: 0.87
170 episode | score: 17.86 | loss: 0.68632 | epsilon: 0.86
180 episode | score: 17.57 | loss: 1.30241 | epsilon: 0.86
190 episode | score: 18.05 | loss: 0.09557 | epsilon: 0.84
200 episode | score: 18.18 | loss: 1.07215 | epsilon: 0.83
210 episode | score: 18.66 | loss: 0.80921 | epsilon: 0.82
220 episode | score: 19.14 | loss: 1.18392 | epsilon: 0.81
230 episode | score: 19.08 | loss: 1.47038 | epsilon: 0.80
240 episode | score: 19.48 | loss: 0.40091 | epsilon: 0.79
250 episode | score: 19.43 | loss: 0.38521 | epsilon: 0.78
260 episode | score: 19.89 | loss: 0.03114 | epsilon: 0.77
270 episode | score: 19.77 | loss: 1.01133 | epsilon: 0.76
280 episode | score: 19.65 | loss: 0.72255 | epsilon: 0.75
290 episode | score: 19.34 | loss: 0.75820 | epsilon: 0.74
300 episode | score: 19.20 | loss: 1.53947 | epsilon: 0.73
310 episode | score: 19.02 | loss: 1.20423 | epsilon: 0.72
320 episode | score: 18.93 | loss: 2.00837 | epsilon: 0.71
330 episode | score: 18.65 | loss: 1.64979 | epsilon: 0.70
340 episode | score: 18.57 | loss: 0.93787 | epsilon: 0.69
350 episode | score: 18.57 | loss: 1.45749 | epsilon: 0.68
360 episode | score: 17.88 | loss: 2.24656 | epsilon: 0.68
370 episode | score: 18.05 | loss: 1.61904 | epsilon: 0.66
380 episode | score: 17.78 | loss: 3.06806 | epsilon: 0.66
390 episode | score: 19.87 | loss: 0.64947 | epsilon: 0.64
400 episode | score: 19.55 | loss: 1.89760 | epsilon: 0.63
410 episode | score: 19.42 | loss: 1.51929 | epsilon: 0.62
420 episode | score: 19.74 | loss: 2.34445 | epsilon: 0.61
430 episode | score: 20.41 | loss: 1.13639 | epsilon: 0.59
440 episode | score: 19.72 | loss: 2.78175 | epsilon: 0.58
450 episode | score: 19.35 | loss: 1.61515 | epsilon: 0.58
460 episode | score: 18.60 | loss: 2.57881 | epsilon: 0.57
470 episode | score: 18.38 | loss: 2.08801 | epsilon: 0.56
480 episode | score: 18.71 | loss: 1.23110 | epsilon: 0.55
490 episode | score: 18.56 | loss: 1.66467 | epsilon: 0.54
500 episode | score: 19.59 | loss: 0.31543 | epsilon: 0.53
510 episode | score: 19.68 | loss: 1.62778 | epsilon: 0.52
520 episode | score: 19.49 | loss: 1.34226 | epsilon: 0.51
