state size: 2
action size: 2
0 episode | score: 42.00 | loss: 0.00000 | epsilon: 1.00
10 episode | score: 40.06 | loss: 0.00000 | epsilon: 1.00
20 episode | score: 38.51 | loss: 0.00000 | epsilon: 1.00
30 episode | score: 37.15 | loss: 0.00000 | epsilon: 1.00
40 episode | score: 35.32 | loss: 0.00000 | epsilon: 1.00
50 episode | score: 34.80 | loss: 0.16093 | epsilon: 0.99
60 episode | score: 34.03 | loss: 0.16544 | epsilon: 0.97
70 episode | score: 32.72 | loss: 0.41782 | epsilon: 0.96
80 episode | score: 30.96 | loss: 0.35763 | epsilon: 0.95
90 episode | score: 30.62 | loss: 1.54800 | epsilon: 0.94
100 episode | score: 29.44 | loss: 0.29163 | epsilon: 0.93
110 episode | score: 28.56 | loss: 0.46364 | epsilon: 0.92
120 episode | score: 27.74 | loss: 0.44584 | epsilon: 0.91
130 episode | score: 27.39 | loss: 0.37214 | epsilon: 0.90
140 episode | score: 27.27 | loss: 0.23095 | epsilon: 0.88
150 episode | score: 26.95 | loss: 0.43954 | epsilon: 0.87
160 episode | score: 26.27 | loss: 0.45517 | epsilon: 0.86
170 episode | score: 25.34 | loss: 1.56370 | epsilon: 0.85
180 episode | score: 24.77 | loss: 0.74127 | epsilon: 0.84
190 episode | score: 24.02 | loss: 0.54314 | epsilon: 0.83
200 episode | score: 23.12 | loss: 0.88684 | epsilon: 0.82
210 episode | score: 22.73 | loss: 1.21659 | epsilon: 0.81
220 episode | score: 22.60 | loss: 1.68564 | epsilon: 0.80
230 episode | score: 22.24 | loss: 0.63498 | epsilon: 0.79
240 episode | score: 22.67 | loss: 0.67226 | epsilon: 0.78
250 episode | score: 22.03 | loss: 0.64331 | epsilon: 0.77
260 episode | score: 22.30 | loss: 0.37808 | epsilon: 0.76
270 episode | score: 21.48 | loss: 1.64759 | epsilon: 0.75
280 episode | score: 21.68 | loss: 1.39732 | epsilon: 0.74
290 episode | score: 21.12 | loss: 1.54835 | epsilon: 0.73
300 episode | score: 21.05 | loss: 0.41286 | epsilon: 0.72
310 episode | score: 20.76 | loss: 1.75307 | epsilon: 0.71
320 episode | score: 20.23 | loss: 0.77339 | epsilon: 0.70
330 episode | score: 19.58 | loss: 1.25978 | epsilon: 0.69
340 episode | score: 19.76 | loss: 0.42972 | epsilon: 0.68
350 episode | score: 19.78 | loss: 0.81583 | epsilon: 0.67
360 episode | score: 20.31 | loss: 1.31229 | epsilon: 0.66
370 episode | score: 20.49 | loss: 0.85073 | epsilon: 0.65
380 episode | score: 20.23 | loss: 1.30102 | epsilon: 0.64
390 episode | score: 19.76 | loss: 0.87183 | epsilon: 0.63
400 episode | score: 19.27 | loss: 2.18815 | epsilon: 0.62
410 episode | score: 18.73 | loss: 1.33286 | epsilon: 0.62
420 episode | score: 18.34 | loss: 1.35239 | epsilon: 0.61
430 episode | score: 17.94 | loss: 3.20092 | epsilon: 0.60
440 episode | score: 17.70 | loss: 2.29407 | epsilon: 0.59
450 episode | score: 17.30 | loss: 2.79657 | epsilon: 0.58
460 episode | score: 16.82 | loss: 0.52218 | epsilon: 0.58
470 episode | score: 16.39 | loss: 2.35247 | epsilon: 0.57
480 episode | score: 16.28 | loss: 1.91684 | epsilon: 0.56
490 episode | score: 16.54 | loss: 3.37298 | epsilon: 0.55
500 episode | score: 16.32 | loss: 2.42507 | epsilon: 0.55
510 episode | score: 16.00 | loss: 2.96815 | epsilon: 0.54
520 episode | score: 15.60 | loss: 1.01627 | epsilon: 0.53
530 episode | score: 15.35 | loss: 2.97971 | epsilon: 0.53
540 episode | score: 15.45 | loss: 5.00929 | epsilon: 0.52
550 episode | score: 15.29 | loss: 0.59140 | epsilon: 0.51
560 episode | score: 15.29 | loss: 2.05343 | epsilon: 0.50
570 episode | score: 14.97 | loss: 1.67497 | epsilon: 0.49
580 episode | score: 14.70 | loss: 1.11788 | epsilon: 0.49
590 episode | score: 14.39 | loss: 2.09961 | epsilon: 0.48
600 episode | score: 14.15 | loss: 1.91011 | epsilon: 0.47
