state size: 2
action size: 2
0 episode | score: 12.00 | loss: 0.00000 | epsilon: 1.00
10 episode | score: 12.67 | loss: 0.00000 | epsilon: 1.00
20 episode | score: 13.56 | loss: 0.00000 | epsilon: 1.00
30 episode | score: 14.44 | loss: 0.00000 | epsilon: 1.00
40 episode | score: 15.41 | loss: 0.00000 | epsilon: 1.00
50 episode | score: 15.77 | loss: 0.96089 | epsilon: 1.00
60 episode | score: 16.41 | loss: 0.93860 | epsilon: 1.00
70 episode | score: 16.42 | loss: 1.01427 | epsilon: 1.00
80 episode | score: 16.62 | loss: 1.07113 | epsilon: 1.00
90 episode | score: 17.66 | loss: 1.10516 | epsilon: 0.99
100 episode | score: 18.38 | loss: 0.94563 | epsilon: 0.99
110 episode | score: 18.85 | loss: 1.03042 | epsilon: 0.99
120 episode | score: 18.96 | loss: 1.23199 | epsilon: 0.99
130 episode | score: 18.74 | loss: 1.21250 | epsilon: 0.99
140 episode | score: 18.98 | loss: 1.19747 | epsilon: 0.99
150 episode | score: 19.17 | loss: 1.02725 | epsilon: 0.99
160 episode | score: 19.15 | loss: 1.29563 | epsilon: 0.99
170 episode | score: 20.32 | loss: 0.54591 | epsilon: 0.99
180 episode | score: 20.25 | loss: 1.34229 | epsilon: 0.98
190 episode | score: 20.20 | loss: 1.35469 | epsilon: 0.98
200 episode | score: 20.42 | loss: 1.88872 | epsilon: 0.98
210 episode | score: 21.74 | loss: 0.98212 | epsilon: 0.98
220 episode | score: 21.69 | loss: 2.11604 | epsilon: 0.98
230 episode | score: 21.37 | loss: 0.14703 | epsilon: 0.98
240 episode | score: 20.88 | loss: 1.71532 | epsilon: 0.98
250 episode | score: 20.47 | loss: 0.40529 | epsilon: 0.98
260 episode | score: 20.78 | loss: 1.79826 | epsilon: 0.98
270 episode | score: 21.89 | loss: 3.25153 | epsilon: 0.97
280 episode | score: 22.32 | loss: 2.64987 | epsilon: 0.97
290 episode | score: 22.11 | loss: 0.63517 | epsilon: 0.97
300 episode | score: 21.55 | loss: 1.12294 | epsilon: 0.97
310 episode | score: 21.17 | loss: 2.30202 | epsilon: 0.97
320 episode | score: 21.34 | loss: 0.60143 | epsilon: 0.97
330 episode | score: 21.71 | loss: 3.69643 | epsilon: 0.97
340 episode | score: 21.97 | loss: 2.89781 | epsilon: 0.97
350 episode | score: 21.32 | loss: 1.30668 | epsilon: 0.97
360 episode | score: 21.63 | loss: 4.18650 | epsilon: 0.96
370 episode | score: 21.81 | loss: 2.79103 | epsilon: 0.96
380 episode | score: 21.94 | loss: 0.25553 | epsilon: 0.96
390 episode | score: 21.41 | loss: 1.96867 | epsilon: 0.96
400 episode | score: 21.14 | loss: 3.48696 | epsilon: 0.96
410 episode | score: 20.94 | loss: 1.53033 | epsilon: 0.96
420 episode | score: 21.55 | loss: 7.88068 | epsilon: 0.96
430 episode | score: 21.92 | loss: 6.52387 | epsilon: 0.96
440 episode | score: 22.40 | loss: 0.21836 | epsilon: 0.95
450 episode | score: 22.17 | loss: 6.83157 | epsilon: 0.95
460 episode | score: 22.55 | loss: 2.13763 | epsilon: 0.95
470 episode | score: 22.29 | loss: 7.30768 | epsilon: 0.95
480 episode | score: 22.76 | loss: 0.00286 | epsilon: 0.95
490 episode | score: 22.76 | loss: 1.86860 | epsilon: 0.95
500 episode | score: 22.39 | loss: 1.89115 | epsilon: 0.95
510 episode | score: 22.30 | loss: 5.67902 | epsilon: 0.95
520 episode | score: 21.71 | loss: 3.89686 | epsilon: 0.95
530 episode | score: 21.63 | loss: 3.89109 | epsilon: 0.94
540 episode | score: 21.63 | loss: 3.93098 | epsilon: 0.94
550 episode | score: 21.24 | loss: 0.01014 | epsilon: 0.94
560 episode | score: 21.24 | loss: 4.03380 | epsilon: 0.94
570 episode | score: 21.21 | loss: 4.38499 | epsilon: 0.94
580 episode | score: 20.98 | loss: 0.32868 | epsilon: 0.94
590 episode | score: 20.86 | loss: 4.39250 | epsilon: 0.94
600 episode | score: 21.00 | loss: 0.02285 | epsilon: 0.94
610 episode | score: 20.74 | loss: 4.27942 | epsilon: 0.94
620 episode | score: 20.60 | loss: 0.00928 | epsilon: 0.93
630 episode | score: 20.12 | loss: 4.57427 | epsilon: 0.93
640 episode | score: 19.96 | loss: 0.30168 | epsilon: 0.93
650 episode | score: 20.53 | loss: 2.21432 | epsilon: 0.93
660 episode | score: 20.54 | loss: 8.91845 | epsilon: 0.93
670 episode | score: 20.46 | loss: 6.74391 | epsilon: 0.93
680 episode | score: 20.87 | loss: 4.56061 | epsilon: 0.93
690 episode | score: 20.96 | loss: 2.29454 | epsilon: 0.93
700 episode | score: 20.83 | loss: 2.31069 | epsilon: 0.93
710 episode | score: 21.05 | loss: 2.38170 | epsilon: 0.92
720 episode | score: 21.12 | loss: 4.70912 | epsilon: 0.92
730 episode | score: 20.61 | loss: 0.04065 | epsilon: 0.92
740 episode | score: 20.47 | loss: 7.19133 | epsilon: 0.92
750 episode | score: 19.79 | loss: 7.17354 | epsilon: 0.92
760 episode | score: 19.37 | loss: 0.01563 | epsilon: 0.92
770 episode | score: 19.51 | loss: 7.27037 | epsilon: 0.92
780 episode | score: 19.35 | loss: 2.44803 | epsilon: 0.92
790 episode | score: 19.43 | loss: 9.80240 | epsilon: 0.92
800 episode | score: 19.33 | loss: 4.93518 | epsilon: 0.92
810 episode | score: 18.82 | loss: 0.00267 | epsilon: 0.92
820 episode | score: 18.74 | loss: 0.00269 | epsilon: 0.91
830 episode | score: 19.81 | loss: 15.03173 | epsilon: 0.91
840 episode | score: 20.21 | loss: 7.58308 | epsilon: 0.91
850 episode | score: 19.99 | loss: 5.09356 | epsilon: 0.91
860 episode | score: 19.71 | loss: 5.14798 | epsilon: 0.91
870 episode | score: 19.31 | loss: 2.56062 | epsilon: 0.91
880 episode | score: 18.91 | loss: 2.57498 | epsilon: 0.91
890 episode | score: 18.91 | loss: 2.58597 | epsilon: 0.91
900 episode | score: 19.43 | loss: 7.77244 | epsilon: 0.91
910 episode | score: 19.69 | loss: 0.03795 | epsilon: 0.90
920 episode | score: 19.39 | loss: 2.61514 | epsilon: 0.90
930 episode | score: 19.33 | loss: 2.62617 | epsilon: 0.90
940 episode | score: 19.49 | loss: 2.67055 | epsilon: 0.90
950 episode | score: 20.38 | loss: 7.98189 | epsilon: 0.90
960 episode | score: 19.66 | loss: 5.32255 | epsilon: 0.90
970 episode | score: 19.54 | loss: 10.68037 | epsilon: 0.90
980 episode | score: 19.14 | loss: 2.69189 | epsilon: 0.90
990 episode | score: 18.67 | loss: 2.68709 | epsilon: 0.90
1000 episode | score: 19.01 | loss: 0.00378 | epsilon: 0.90
1010 episode | score: 18.84 | loss: 5.40751 | epsilon: 0.90
1020 episode | score: 18.58 | loss: 5.42804 | epsilon: 0.89
1030 episode | score: 19.17 | loss: 0.03416 | epsilon: 0.89
1040 episode | score: 19.41 | loss: 2.73678 | epsilon: 0.89
1050 episode | score: 19.71 | loss: 8.22891 | epsilon: 0.89
1060 episode | score: 19.60 | loss: 2.75254 | epsilon: 0.89
1070 episode | score: 19.46 | loss: 8.27958 | epsilon: 0.89
1080 episode | score: 19.31 | loss: 8.30243 | epsilon: 0.89
1090 episode | score: 19.20 | loss: 2.77663 | epsilon: 0.89
1100 episode | score: 19.24 | loss: 2.78558 | epsilon: 0.89
1110 episode | score: 18.98 | loss: 8.37877 | epsilon: 0.88
1120 episode | score: 19.10 | loss: 2.80477 | epsilon: 0.88
1130 episode | score: 19.01 | loss: 5.62254 | epsilon: 0.88
1140 episode | score: 19.55 | loss: 8.43628 | epsilon: 0.88
1150 episode | score: 19.73 | loss: 5.69531 | epsilon: 0.88
1160 episode | score: 19.57 | loss: 11.30134 | epsilon: 0.88
1170 episode | score: 19.69 | loss: 8.53450 | epsilon: 0.88
1180 episode | score: 19.41 | loss: 0.00190 | epsilon: 0.88
1190 episode | score: 19.12 | loss: 2.84484 | epsilon: 0.88
1200 episode | score: 18.92 | loss: 5.70604 | epsilon: 0.88
1210 episode | score: 19.35 | loss: 5.71289 | epsilon: 0.87
1220 episode | score: 19.47 | loss: 5.76602 | epsilon: 0.87
1230 episode | score: 19.25 | loss: 2.87016 | epsilon: 0.87
1240 episode | score: 19.01 | loss: 2.87724 | epsilon: 0.87
1250 episode | score: 18.56 | loss: 2.89348 | epsilon: 0.87
1260 episode | score: 19.27 | loss: 5.77408 | epsilon: 0.87
1270 episode | score: 19.63 | loss: 8.68857 | epsilon: 0.87
1280 episode | score: 19.83 | loss: 2.90215 | epsilon: 0.87
1290 episode | score: 20.05 | loss: 8.71241 | epsilon: 0.87
1300 episode | score: 19.62 | loss: 5.82258 | epsilon: 0.87
1310 episode | score: 19.49 | loss: 20.40051 | epsilon: 0.86
1320 episode | score: 19.45 | loss: 2.92513 | epsilon: 0.86
1330 episode | score: 20.08 | loss: 11.71061 | epsilon: 0.86
1340 episode | score: 20.10 | loss: 5.86650 | epsilon: 0.86
1350 episode | score: 20.04 | loss: 5.87246 | epsilon: 0.86
1360 episode | score: 20.09 | loss: 5.87967 | epsilon: 0.86
1370 episode | score: 20.01 | loss: 5.88766 | epsilon: 0.86
1380 episode | score: 19.82 | loss: 11.79654 | epsilon: 0.86
1390 episode | score: 19.44 | loss: 8.87670 | epsilon: 0.86
1400 episode | score: 20.65 | loss: 5.92321 | epsilon: 0.85
1410 episode | score: 20.81 | loss: 0.01385 | epsilon: 0.85
1420 episode | score: 21.05 | loss: 5.94243 | epsilon: 0.85
1430 episode | score: 20.92 | loss: 11.89380 | epsilon: 0.85
1440 episode | score: 20.50 | loss: 0.03230 | epsilon: 0.85
1450 episode | score: 20.51 | loss: 5.96671 | epsilon: 0.85
1460 episode | score: 20.59 | loss: 8.95290 | epsilon: 0.85
1470 episode | score: 20.19 | loss: 0.01795 | epsilon: 0.85
1480 episode | score: 19.66 | loss: 5.97778 | epsilon: 0.85
1490 episode | score: 19.87 | loss: 3.02197 | epsilon: 0.84
1500 episode | score: 19.42 | loss: 8.98726 | epsilon: 0.84
1510 episode | score: 19.55 | loss: 3.00102 | epsilon: 0.84
1520 episode | score: 19.86 | loss: 9.01125 | epsilon: 0.84
1530 episode | score: 19.59 | loss: 0.03853 | epsilon: 0.84
1540 episode | score: 19.28 | loss: 3.00942 | epsilon: 0.84
1550 episode | score: 19.31 | loss: 9.03068 | epsilon: 0.84
1560 episode | score: 18.85 | loss: 9.04248 | epsilon: 0.84
1570 episode | score: 18.88 | loss: 6.03603 | epsilon: 0.84
1580 episode | score: 18.90 | loss: 9.05887 | epsilon: 0.84
1590 episode | score: 19.04 | loss: 3.02285 | epsilon: 0.84
1600 episode | score: 18.86 | loss: 9.07432 | epsilon: 0.83
1610 episode | score: 18.38 | loss: 3.02896 | epsilon: 0.83
1620 episode | score: 18.57 | loss: 6.05431 | epsilon: 0.83
1630 episode | score: 18.72 | loss: 9.11144 | epsilon: 0.83
1640 episode | score: 18.87 | loss: 3.04062 | epsilon: 0.83
1650 episode | score: 19.16 | loss: 9.11466 | epsilon: 0.83
1660 episode | score: 18.90 | loss: 9.12349 | epsilon: 0.83
1670 episode | score: 18.45 | loss: 3.04584 | epsilon: 0.83
1680 episode | score: 18.11 | loss: 12.17503 | epsilon: 0.83
1690 episode | score: 17.89 | loss: 6.09498 | epsilon: 0.83
1700 episode | score: 18.12 | loss: 0.00447 | epsilon: 0.82
1710 episode | score: 18.46 | loss: 9.14991 | epsilon: 0.82
1720 episode | score: 18.88 | loss: 0.00380 | epsilon: 0.82
1730 episode | score: 18.73 | loss: 6.11023 | epsilon: 0.82
1740 episode | score: 18.36 | loss: 3.06222 | epsilon: 0.82
1750 episode | score: 18.39 | loss: 6.12329 | epsilon: 0.82
1760 episode | score: 19.28 | loss: 6.13464 | epsilon: 0.82
1770 episode | score: 19.57 | loss: 3.06663 | epsilon: 0.82
1780 episode | score: 19.88 | loss: 12.26234 | epsilon: 0.82
1790 episode | score: 19.62 | loss: 0.00444 | epsilon: 0.82
1800 episode | score: 19.96 | loss: 0.01421 | epsilon: 0.81
1810 episode | score: 20.09 | loss: 6.14505 | epsilon: 0.81
