state size: 2
action size: 2
0 episode | score: 14.00 | loss: 0.00000 | epsilon: 1.00
10 episode | score: 14.76 | loss: 0.00000 | epsilon: 1.00
20 episode | score: 15.23 | loss: 0.00000 | epsilon: 1.00
30 episode | score: 15.95 | loss: 0.00000 | epsilon: 1.00
40 episode | score: 16.53 | loss: 0.00000 | epsilon: 1.00
50 episode | score: 17.37 | loss: 0.01794 | epsilon: 0.99
60 episode | score: 18.24 | loss: 0.16669 | epsilon: 0.98
70 episode | score: 18.11 | loss: 0.34560 | epsilon: 0.97
80 episode | score: 19.09 | loss: 0.27872 | epsilon: 0.95
90 episode | score: 19.20 | loss: 0.10765 | epsilon: 0.94
100 episode | score: 19.87 | loss: 0.31256 | epsilon: 0.93
110 episode | score: 20.12 | loss: 0.23088 | epsilon: 0.92
120 episode | score: 20.01 | loss: 0.21026 | epsilon: 0.91
130 episode | score: 20.09 | loss: 0.35742 | epsilon: 0.90
140 episode | score: 19.67 | loss: 0.79580 | epsilon: 0.89
150 episode | score: 20.50 | loss: 0.80481 | epsilon: 0.87
160 episode | score: 20.38 | loss: 0.88013 | epsilon: 0.86
170 episode | score: 20.39 | loss: 1.25412 | epsilon: 0.85
180 episode | score: 20.04 | loss: 0.52093 | epsilon: 0.84
190 episode | score: 19.84 | loss: 0.55054 | epsilon: 0.83
200 episode | score: 20.01 | loss: 0.33030 | epsilon: 0.82
210 episode | score: 19.70 | loss: 0.92579 | epsilon: 0.81
220 episode | score: 19.39 | loss: 1.20533 | epsilon: 0.81
230 episode | score: 19.26 | loss: 0.87415 | epsilon: 0.80
240 episode | score: 19.06 | loss: 0.90856 | epsilon: 0.79
250 episode | score: 19.28 | loss: 1.77824 | epsilon: 0.78
260 episode | score: 19.17 | loss: 1.33076 | epsilon: 0.77
270 episode | score: 19.42 | loss: 3.00621 | epsilon: 0.75
280 episode | score: 19.54 | loss: 1.47888 | epsilon: 0.74
290 episode | score: 19.48 | loss: 1.50961 | epsilon: 0.73
300 episode | score: 19.12 | loss: 1.47379 | epsilon: 0.73
310 episode | score: 19.25 | loss: 0.19753 | epsilon: 0.71
320 episode | score: 19.33 | loss: 1.70426 | epsilon: 0.70
330 episode | score: 19.39 | loss: 1.00672 | epsilon: 0.69
340 episode | score: 19.64 | loss: 1.45864 | epsilon: 0.68
350 episode | score: 19.17 | loss: 1.40460 | epsilon: 0.67
360 episode | score: 18.75 | loss: 2.64478 | epsilon: 0.67
370 episode | score: 18.41 | loss: 3.22029 | epsilon: 0.66
380 episode | score: 17.93 | loss: 0.45030 | epsilon: 0.65
390 episode | score: 18.17 | loss: 1.68486 | epsilon: 0.64
400 episode | score: 18.19 | loss: 1.43298 | epsilon: 0.63
410 episode | score: 18.12 | loss: 1.81840 | epsilon: 0.62
420 episode | score: 17.85 | loss: 1.65992 | epsilon: 0.61
430 episode | score: 17.36 | loss: 1.72838 | epsilon: 0.61
440 episode | score: 17.24 | loss: 1.97785 | epsilon: 0.60
450 episode | score: 16.97 | loss: 1.92500 | epsilon: 0.59
460 episode | score: 17.20 | loss: 2.53124 | epsilon: 0.58
470 episode | score: 18.34 | loss: 2.34670 | epsilon: 0.56
480 episode | score: 18.55 | loss: 2.35087 | epsilon: 0.55
490 episode | score: 19.91 | loss: 2.21829 | epsilon: 0.54
500 episode | score: 20.51 | loss: 2.05022 | epsilon: 0.52
510 episode | score: 20.98 | loss: 0.81791 | epsilon: 0.51
520 episode | score: 20.43 | loss: 1.53127 | epsilon: 0.50
530 episode | score: 19.99 | loss: 2.05215 | epsilon: 0.49
540 episode | score: 19.90 | loss: 1.59941 | epsilon: 0.48
550 episode | score: 19.99 | loss: 1.95267 | epsilon: 0.47
560 episode | score: 19.92 | loss: 2.26916 | epsilon: 0.46
570 episode | score: 20.08 | loss: 2.13087 | epsilon: 0.45
580 episode | score: 19.68 | loss: 2.09932 | epsilon: 0.44
590 episode | score: 19.21 | loss: 3.12417 | epsilon: 0.44
600 episode | score: 18.63 | loss: 1.55597 | epsilon: 0.43
610 episode | score: 19.32 | loss: 2.15091 | epsilon: 0.41
620 episode | score: 19.06 | loss: 3.17568 | epsilon: 0.41
630 episode | score: 18.44 | loss: 3.58066 | epsilon: 0.40
640 episode | score: 18.36 | loss: 4.92455 | epsilon: 0.39
650 episode | score: 17.85 | loss: 5.45235 | epsilon: 0.38
660 episode | score: 17.55 | loss: 3.18272 | epsilon: 0.37
670 episode | score: 17.33 | loss: 2.80022 | epsilon: 0.37
680 episode | score: 17.14 | loss: 3.32816 | epsilon: 0.36
690 episode | score: 16.82 | loss: 1.81146 | epsilon: 0.35
700 episode | score: 16.29 | loss: 4.11124 | epsilon: 0.34
710 episode | score: 15.79 | loss: 2.62177 | epsilon: 0.34
720 episode | score: 15.68 | loss: 2.85450 | epsilon: 0.33
730 episode | score: 15.60 | loss: 2.41116 | epsilon: 0.32
740 episode | score: 15.45 | loss: 2.95173 | epsilon: 0.32
750 episode | score: 16.16 | loss: 2.51091 | epsilon: 0.30
760 episode | score: 18.08 | loss: 2.38995 | epsilon: 0.28
770 episode | score: 18.57 | loss: 2.81864 | epsilon: 0.27
780 episode | score: 20.55 | loss: 2.70999 | epsilon: 0.25
790 episode | score: 21.44 | loss: 2.02102 | epsilon: 0.24
800 episode | score: 22.73 | loss: 2.41767 | epsilon: 0.22
810 episode | score: 24.72 | loss: 1.80759 | epsilon: 0.20
820 episode | score: 24.13 | loss: 2.05101 | epsilon: 0.19
830 episode | score: 23.41 | loss: 2.27408 | epsilon: 0.18
840 episode | score: 22.66 | loss: 3.22657 | epsilon: 0.17
850 episode | score: 22.05 | loss: 2.60639 | epsilon: 0.16
860 episode | score: 21.47 | loss: 1.94222 | epsilon: 0.15
870 episode | score: 20.71 | loss: 2.09584 | epsilon: 0.15
880 episode | score: 20.13 | loss: 1.73685 | epsilon: 0.14
890 episode | score: 19.65 | loss: 1.86703 | epsilon: 0.13
900 episode | score: 20.16 | loss: 1.62961 | epsilon: 0.12
910 episode | score: 20.04 | loss: 1.29448 | epsilon: 0.11
920 episode | score: 19.83 | loss: 1.20620 | epsilon: 0.10
930 episode | score: 19.36 | loss: 1.38076 | epsilon: 0.09
940 episode | score: 19.33 | loss: 1.21226 | epsilon: 0.08
950 episode | score: 18.98 | loss: 1.14445 | epsilon: 0.07
960 episode | score: 18.22 | loss: 1.19618 | epsilon: 0.07
970 episode | score: 17.78 | loss: 1.51331 | epsilon: 0.06
980 episode | score: 18.31 | loss: 1.59658 | epsilon: 0.05
990 episode | score: 18.17 | loss: 1.67498 | epsilon: 0.04
1000 episode | score: 17.99 | loss: 1.55732 | epsilon: 0.03
1010 episode | score: 17.69 | loss: 1.49008 | epsilon: 0.02
1020 episode | score: 17.67 | loss: 1.32969 | epsilon: 0.01
1030 episode | score: 18.05 | loss: 1.46123 | epsilon: 0.01
1040 episode | score: 18.52 | loss: 0.81072 | epsilon: 0.01
1050 episode | score: 18.81 | loss: 0.98194 | epsilon: 0.01
1060 episode | score: 18.92 | loss: 0.89109 | epsilon: 0.01
1070 episode | score: 19.31 | loss: 1.02945 | epsilon: 0.01
1080 episode | score: 19.70 | loss: 0.88002 | epsilon: 0.01
1090 episode | score: 20.18 | loss: 0.96673 | epsilon: 0.01
1100 episode | score: 20.13 | loss: 1.23649 | epsilon: 0.01
1110 episode | score: 20.73 | loss: 1.38065 | epsilon: 0.01
1120 episode | score: 20.49 | loss: 1.45648 | epsilon: 0.01
1130 episode | score: 20.68 | loss: 1.77203 | epsilon: 0.01
1140 episode | score: 21.48 | loss: 1.78566 | epsilon: 0.01
1150 episode | score: 20.71 | loss: 1.96125 | epsilon: 0.01
1160 episode | score: 19.87 | loss: 2.71662 | epsilon: 0.01
1170 episode | score: 19.39 | loss: 2.29088 | epsilon: 0.01
1180 episode | score: 19.44 | loss: 2.63103 | epsilon: 0.01
1190 episode | score: 19.46 | loss: 1.83620 | epsilon: 0.01
1200 episode | score: 20.61 | loss: 1.91210 | epsilon: 0.01
1210 episode | score: 22.85 | loss: 2.84191 | epsilon: 0.01
1220 episode | score: 26.04 | loss: 3.86606 | epsilon: 0.01
1230 episode | score: 29.79 | loss: 2.82321 | epsilon: 0.01
1240 episode | score: 36.85 | loss: 3.15111 | epsilon: 0.01
1250 episode | score: 43.10 | loss: 3.00155 | epsilon: 0.01
1260 episode | score: 44.97 | loss: 3.35572 | epsilon: 0.01
1270 episode | score: 44.93 | loss: 3.09458 | epsilon: 0.01
1280 episode | score: 43.55 | loss: 1.26771 | epsilon: 0.01
1290 episode | score: 42.54 | loss: 1.44074 | epsilon: 0.01
1300 episode | score: 41.55 | loss: 1.50853 | epsilon: 0.01
1310 episode | score: 40.17 | loss: 2.02867 | epsilon: 0.01
1320 episode | score: 37.94 | loss: 1.49929 | epsilon: 0.01
1330 episode | score: 35.81 | loss: 1.13095 | epsilon: 0.01
1340 episode | score: 34.08 | loss: 1.84829 | epsilon: 0.01
1350 episode | score: 32.41 | loss: 2.60215 | epsilon: 0.01
1360 episode | score: 31.18 | loss: 3.27628 | epsilon: 0.01
1370 episode | score: 31.02 | loss: 1.96617 | epsilon: 0.01
1380 episode | score: 34.37 | loss: 3.92757 | epsilon: 0.01
1390 episode | score: 35.10 | loss: 1.61075 | epsilon: 0.01
1400 episode | score: 38.78 | loss: 3.24624 | epsilon: 0.01
1410 episode | score: 39.15 | loss: 3.90611 | epsilon: 0.01
1420 episode | score: 41.08 | loss: 2.85193 | epsilon: 0.01
1430 episode | score: 42.83 | loss: 1.30137 | epsilon: 0.01
1440 episode | score: 42.95 | loss: 2.62816 | epsilon: 0.01
1450 episode | score: 43.70 | loss: 1.65842 | epsilon: 0.01
1460 episode | score: 45.06 | loss: 1.69410 | epsilon: 0.01
1470 episode | score: 42.64 | loss: 2.12097 | epsilon: 0.01
1480 episode | score: 40.39 | loss: 1.33796 | epsilon: 0.01
1490 episode | score: 40.40 | loss: 1.26311 | epsilon: 0.01
1500 episode | score: 38.30 | loss: 2.07969 | epsilon: 0.01
1510 episode | score: 36.81 | loss: 0.85568 | epsilon: 0.01
1520 episode | score: 37.46 | loss: 2.20474 | epsilon: 0.01
1530 episode | score: 42.49 | loss: 1.77703 | epsilon: 0.01
1540 episode | score: 45.07 | loss: 2.29265 | epsilon: 0.01
1550 episode | score: 44.01 | loss: 1.48335 | epsilon: 0.01
1560 episode | score: 45.18 | loss: 1.55130 | epsilon: 0.01
1570 episode | score: 45.94 | loss: 2.60538 | epsilon: 0.01
1580 episode | score: 46.63 | loss: 1.31566 | epsilon: 0.01
1590 episode | score: 51.82 | loss: 1.31663 | epsilon: 0.01
1600 episode | score: 62.62 | loss: 1.31765 | epsilon: 0.01
1610 episode | score: 66.35 | loss: 1.49308 | epsilon: 0.01
1620 episode | score: 67.19 | loss: 1.43458 | epsilon: 0.01
1630 episode | score: 67.01 | loss: 1.30476 | epsilon: 0.01
1640 episode | score: 65.78 | loss: 1.70704 | epsilon: 0.01
1650 episode | score: 63.22 | loss: 2.42629 | epsilon: 0.01
1660 episode | score: 75.44 | loss: 1.37686 | epsilon: 0.01
1670 episode | score: 72.39 | loss: 1.89782 | epsilon: 0.01
1680 episode | score: 73.28 | loss: 1.65011 | epsilon: 0.01
1690 episode | score: 70.94 | loss: 0.87800 | epsilon: 0.01
1700 episode | score: 70.93 | loss: 1.40918 | epsilon: 0.01
1710 episode | score: 69.50 | loss: 1.56026 | epsilon: 0.01
1720 episode | score: 69.40 | loss: 1.82598 | epsilon: 0.01
1730 episode | score: 70.31 | loss: 1.80427 | epsilon: 0.01
1740 episode | score: 69.11 | loss: 2.11016 | epsilon: 0.01
1750 episode | score: 68.57 | loss: 0.93372 | epsilon: 0.01
1760 episode | score: 70.24 | loss: 1.33113 | epsilon: 0.01
1770 episode | score: 67.75 | loss: 1.82703 | epsilon: 0.01
1780 episode | score: 65.02 | loss: 2.27058 | epsilon: 0.01
1790 episode | score: 69.14 | loss: 2.67553 | epsilon: 0.01
1800 episode | score: 71.80 | loss: 1.88377 | epsilon: 0.01
1810 episode | score: 73.41 | loss: 1.26970 | epsilon: 0.01
1820 episode | score: 77.43 | loss: 1.43935 | epsilon: 0.01
