state size: 2
action size: 2
0 episode | score: 42.00 | loss: 0.00000 | epsilon: 1.00
10 episode | score: 39.48 | loss: 0.00000 | epsilon: 1.00
20 episode | score: 37.85 | loss: 0.00000 | epsilon: 1.00
30 episode | score: 36.05 | loss: 0.00000 | epsilon: 1.00
40 episode | score: 34.11 | loss: 0.00000 | epsilon: 1.00
50 episode | score: 32.68 | loss: 0.33304 | epsilon: 1.00
60 episode | score: 31.11 | loss: 0.20664 | epsilon: 0.99
70 episode | score: 30.30 | loss: 0.17808 | epsilon: 0.98
80 episode | score: 29.67 | loss: 0.25635 | epsilon: 0.97
90 episode | score: 29.02 | loss: 0.52714 | epsilon: 0.95
100 episode | score: 27.89 | loss: 0.79162 | epsilon: 0.95
110 episode | score: 27.20 | loss: 0.32172 | epsilon: 0.93
120 episode | score: 27.31 | loss: 0.88816 | epsilon: 0.92
130 episode | score: 26.59 | loss: 0.67432 | epsilon: 0.91
140 episode | score: 25.59 | loss: 0.21146 | epsilon: 0.90
150 episode | score: 25.58 | loss: 0.57946 | epsilon: 0.89
160 episode | score: 25.57 | loss: 0.75138 | epsilon: 0.87
170 episode | score: 24.81 | loss: 0.45107 | epsilon: 0.87
180 episode | score: 24.31 | loss: 1.11557 | epsilon: 0.86
190 episode | score: 24.40 | loss: 0.73569 | epsilon: 0.84
200 episode | score: 23.95 | loss: 0.52971 | epsilon: 0.83
210 episode | score: 23.44 | loss: 0.29357 | epsilon: 0.82
220 episode | score: 23.33 | loss: 0.56872 | epsilon: 0.81
230 episode | score: 22.69 | loss: 1.67684 | epsilon: 0.80
240 episode | score: 22.04 | loss: 0.90344 | epsilon: 0.79
250 episode | score: 21.78 | loss: 1.22213 | epsilon: 0.78
260 episode | score: 22.02 | loss: 1.55604 | epsilon: 0.77
270 episode | score: 21.59 | loss: 1.91622 | epsilon: 0.76
280 episode | score: 21.56 | loss: 1.86581 | epsilon: 0.75
290 episode | score: 21.94 | loss: 1.05475 | epsilon: 0.74
300 episode | score: 21.63 | loss: 2.10064 | epsilon: 0.73
310 episode | score: 21.41 | loss: 0.74282 | epsilon: 0.72
320 episode | score: 21.19 | loss: 1.13760 | epsilon: 0.71
330 episode | score: 21.51 | loss: 0.42925 | epsilon: 0.69
340 episode | score: 20.95 | loss: 0.79201 | epsilon: 0.69
350 episode | score: 20.47 | loss: 0.81940 | epsilon: 0.68
360 episode | score: 20.35 | loss: 2.00666 | epsilon: 0.67
370 episode | score: 19.69 | loss: 1.29173 | epsilon: 0.66
380 episode | score: 19.51 | loss: 1.24970 | epsilon: 0.65
390 episode | score: 19.22 | loss: 1.70168 | epsilon: 0.64
400 episode | score: 18.73 | loss: 1.36878 | epsilon: 0.63
410 episode | score: 18.40 | loss: 2.58290 | epsilon: 0.63
420 episode | score: 18.50 | loss: 2.18710 | epsilon: 0.62
430 episode | score: 18.04 | loss: 4.43702 | epsilon: 0.61
440 episode | score: 17.68 | loss: 2.25777 | epsilon: 0.60
450 episode | score: 17.39 | loss: 2.31119 | epsilon: 0.59
460 episode | score: 17.14 | loss: 1.26720 | epsilon: 0.58
470 episode | score: 17.04 | loss: 1.41837 | epsilon: 0.58
480 episode | score: 16.55 | loss: 1.97171 | epsilon: 0.57
490 episode | score: 16.70 | loss: 0.96602 | epsilon: 0.56
500 episode | score: 16.50 | loss: 2.92387 | epsilon: 0.55
510 episode | score: 16.59 | loss: 0.99988 | epsilon: 0.54
520 episode | score: 16.23 | loss: 1.98007 | epsilon: 0.54
530 episode | score: 16.07 | loss: 1.51870 | epsilon: 0.53
540 episode | score: 16.09 | loss: 3.35758 | epsilon: 0.52
550 episode | score: 15.84 | loss: 0.52732 | epsilon: 0.51
560 episode | score: 15.46 | loss: 3.56532 | epsilon: 0.51
570 episode | score: 15.54 | loss: 4.62709 | epsilon: 0.50
580 episode | score: 15.15 | loss: 3.11519 | epsilon: 0.49
590 episode | score: 14.99 | loss: 2.29960 | epsilon: 0.48
600 episode | score: 14.67 | loss: 2.66678 | epsilon: 0.48
610 episode | score: 14.30 | loss: 3.19330 | epsilon: 0.47
620 episode | score: 14.76 | loss: 2.15541 | epsilon: 0.46
630 episode | score: 15.34 | loss: 2.69951 | epsilon: 0.45
640 episode | score: 14.88 | loss: 4.35402 | epsilon: 0.45
