state size: 2
action size: 2
0 episode | score: 23.00 | loss: 0.00000 | epsilon: 1.00
10 episode | score: 23.02 | loss: 0.00000 | epsilon: 1.00
20 episode | score: 23.31 | loss: 0.00000 | epsilon: 1.00
30 episode | score: 23.48 | loss: 0.00000 | epsilon: 1.00
40 episode | score: 23.44 | loss: 0.28238 | epsilon: 1.00
50 episode | score: 23.85 | loss: 0.13913 | epsilon: 0.98
60 episode | score: 23.58 | loss: 0.22849 | epsilon: 0.97
70 episode | score: 23.26 | loss: 0.26565 | epsilon: 0.96
80 episode | score: 22.81 | loss: 0.31917 | epsilon: 0.95
90 episode | score: 22.42 | loss: 0.16147 | epsilon: 0.94
100 episode | score: 22.23 | loss: 0.17792 | epsilon: 0.93
110 episode | score: 21.89 | loss: 0.19422 | epsilon: 0.92
120 episode | score: 21.41 | loss: 0.49105 | epsilon: 0.91
130 episode | score: 21.58 | loss: 0.52040 | epsilon: 0.90
140 episode | score: 21.19 | loss: 0.23101 | epsilon: 0.89
150 episode | score: 20.98 | loss: 0.59133 | epsilon: 0.88
160 episode | score: 21.04 | loss: 1.01045 | epsilon: 0.87
170 episode | score: 20.99 | loss: 0.78927 | epsilon: 0.86
180 episode | score: 20.99 | loss: 0.73155 | epsilon: 0.85
190 episode | score: 20.40 | loss: 0.73357 | epsilon: 0.84
200 episode | score: 20.51 | loss: 1.13102 | epsilon: 0.83
210 episode | score: 20.38 | loss: 1.39854 | epsilon: 0.82
220 episode | score: 20.06 | loss: 0.57070 | epsilon: 0.81
230 episode | score: 19.73 | loss: 1.12969 | epsilon: 0.80
240 episode | score: 19.70 | loss: 0.61510 | epsilon: 0.79
250 episode | score: 19.89 | loss: 0.62924 | epsilon: 0.78
260 episode | score: 19.86 | loss: 1.24570 | epsilon: 0.77
270 episode | score: 19.81 | loss: 0.48206 | epsilon: 0.76
280 episode | score: 20.03 | loss: 0.70046 | epsilon: 0.75
290 episode | score: 19.60 | loss: 1.36649 | epsilon: 0.74
300 episode | score: 19.24 | loss: 1.05601 | epsilon: 0.73
310 episode | score: 18.54 | loss: 1.41229 | epsilon: 0.73
320 episode | score: 18.88 | loss: 0.75461 | epsilon: 0.71
330 episode | score: 18.75 | loss: 1.14004 | epsilon: 0.70
340 episode | score: 18.56 | loss: 0.77617 | epsilon: 0.70
350 episode | score: 19.98 | loss: 0.44851 | epsilon: 0.68
360 episode | score: 20.11 | loss: 1.62095 | epsilon: 0.67
370 episode | score: 19.68 | loss: 1.65402 | epsilon: 0.66
380 episode | score: 19.82 | loss: 2.08676 | epsilon: 0.65
390 episode | score: 19.75 | loss: 0.89067 | epsilon: 0.64
400 episode | score: 19.65 | loss: 0.47381 | epsilon: 0.63
410 episode | score: 19.31 | loss: 2.23587 | epsilon: 0.62
420 episode | score: 18.87 | loss: 1.78627 | epsilon: 0.61
430 episode | score: 18.52 | loss: 0.92573 | epsilon: 0.60
440 episode | score: 18.12 | loss: 2.27460 | epsilon: 0.60
450 episode | score: 17.89 | loss: 1.86478 | epsilon: 0.59
460 episode | score: 17.26 | loss: 1.40554 | epsilon: 0.58
470 episode | score: 16.83 | loss: 0.56247 | epsilon: 0.57
480 episode | score: 16.60 | loss: 0.97599 | epsilon: 0.57
