state size: 2
action size: 2
0 episode | score: 12.00 | loss: 0.00000 | epsilon: 1.00
10 episode | score: 13.18 | loss: 0.00000 | epsilon: 1.00
20 episode | score: 14.82 | loss: 0.00000 | epsilon: 1.00
30 episode | score: 14.94 | loss: 0.00000 | epsilon: 1.00
40 episode | score: 15.34 | loss: 0.00000 | epsilon: 1.00
50 episode | score: 15.60 | loss: 0.08709 | epsilon: 0.99
60 episode | score: 16.12 | loss: 0.18427 | epsilon: 0.98
70 episode | score: 16.50 | loss: 0.14483 | epsilon: 0.97
80 episode | score: 17.01 | loss: 0.76807 | epsilon: 0.96
90 episode | score: 17.05 | loss: 0.48280 | epsilon: 0.95
100 episode | score: 17.54 | loss: 0.69990 | epsilon: 0.94
110 episode | score: 17.44 | loss: 0.53380 | epsilon: 0.93
120 episode | score: 17.50 | loss: 0.29933 | epsilon: 0.92
130 episode | score: 17.68 | loss: 0.18105 | epsilon: 0.91
140 episode | score: 17.71 | loss: 0.90332 | epsilon: 0.90
150 episode | score: 19.23 | loss: 0.83064 | epsilon: 0.88
160 episode | score: 19.65 | loss: 0.55265 | epsilon: 0.87
170 episode | score: 19.59 | loss: 0.62898 | epsilon: 0.86
180 episode | score: 19.60 | loss: 0.91963 | epsilon: 0.85
190 episode | score: 19.18 | loss: 0.67472 | epsilon: 0.84
200 episode | score: 19.50 | loss: 0.05772 | epsilon: 0.83
210 episode | score: 19.86 | loss: 0.80540 | epsilon: 0.82
220 episode | score: 20.43 | loss: 0.36004 | epsilon: 0.81
230 episode | score: 20.65 | loss: 0.37260 | epsilon: 0.79
240 episode | score: 20.28 | loss: 0.88148 | epsilon: 0.79
250 episode | score: 20.30 | loss: 1.11318 | epsilon: 0.77
260 episode | score: 20.36 | loss: 1.00878 | epsilon: 0.76
270 episode | score: 20.11 | loss: 0.46739 | epsilon: 0.75
280 episode | score: 19.98 | loss: 1.75094 | epsilon: 0.74
290 episode | score: 20.20 | loss: 0.87350 | epsilon: 0.73
300 episode | score: 20.47 | loss: 0.51033 | epsilon: 0.72
310 episode | score: 20.18 | loss: 1.58279 | epsilon: 0.71
320 episode | score: 20.09 | loss: 2.04526 | epsilon: 0.70
330 episode | score: 19.82 | loss: 1.68098 | epsilon: 0.69
340 episode | score: 19.67 | loss: 0.57062 | epsilon: 0.68
350 episode | score: 19.25 | loss: 1.35515 | epsilon: 0.67
360 episode | score: 19.31 | loss: 1.01608 | epsilon: 0.66
370 episode | score: 18.87 | loss: 0.92546 | epsilon: 0.66
380 episode | score: 18.76 | loss: 1.33041 | epsilon: 0.65
390 episode | score: 18.71 | loss: 0.54998 | epsilon: 0.64
400 episode | score: 18.86 | loss: 2.29511 | epsilon: 0.63
410 episode | score: 19.08 | loss: 1.91902 | epsilon: 0.62
420 episode | score: 18.75 | loss: 3.24416 | epsilon: 0.61
430 episode | score: 19.00 | loss: 1.60722 | epsilon: 0.60
440 episode | score: 18.78 | loss: 1.98541 | epsilon: 0.59
450 episode | score: 18.53 | loss: 3.56515 | epsilon: 0.58
460 episode | score: 18.26 | loss: 3.09992 | epsilon: 0.57
470 episode | score: 18.44 | loss: 0.85137 | epsilon: 0.56
480 episode | score: 17.97 | loss: 3.73041 | epsilon: 0.55
490 episode | score: 17.95 | loss: 3.26921 | epsilon: 0.54
500 episode | score: 17.57 | loss: 2.84023 | epsilon: 0.54
510 episode | score: 16.97 | loss: 1.02559 | epsilon: 0.53
520 episode | score: 16.55 | loss: 1.94346 | epsilon: 0.52
530 episode | score: 16.09 | loss: 2.49192 | epsilon: 0.52
540 episode | score: 16.68 | loss: 2.51022 | epsilon: 0.50
550 episode | score: 16.85 | loss: 0.97878 | epsilon: 0.49
560 episode | score: 17.18 | loss: 4.55767 | epsilon: 0.48
570 episode | score: 17.30 | loss: 4.26841 | epsilon: 0.47
580 episode | score: 17.38 | loss: 4.00625 | epsilon: 0.46
590 episode | score: 17.47 | loss: 2.58406 | epsilon: 0.46
600 episode | score: 17.93 | loss: 2.18404 | epsilon: 0.44
610 episode | score: 18.79 | loss: 3.78291 | epsilon: 0.43
620 episode | score: 18.62 | loss: 1.57155 | epsilon: 0.42
630 episode | score: 18.96 | loss: 3.75636 | epsilon: 0.41
640 episode | score: 18.20 | loss: 1.71411 | epsilon: 0.40
650 episode | score: 18.31 | loss: 2.47428 | epsilon: 0.39
660 episode | score: 18.82 | loss: 2.99355 | epsilon: 0.38
670 episode | score: 19.14 | loss: 1.49316 | epsilon: 0.37
680 episode | score: 19.37 | loss: 3.68743 | epsilon: 0.36
690 episode | score: 18.96 | loss: 3.20275 | epsilon: 0.35
700 episode | score: 18.88 | loss: 0.89660 | epsilon: 0.34
710 episode | score: 19.47 | loss: 1.51035 | epsilon: 0.33
720 episode | score: 19.74 | loss: 1.88637 | epsilon: 0.32
730 episode | score: 19.49 | loss: 3.03057 | epsilon: 0.31
740 episode | score: 19.26 | loss: 1.22177 | epsilon: 0.30
750 episode | score: 19.31 | loss: 2.76929 | epsilon: 0.29
760 episode | score: 19.45 | loss: 2.73128 | epsilon: 0.28
770 episode | score: 19.47 | loss: 1.65679 | epsilon: 0.27
780 episode | score: 19.39 | loss: 1.59935 | epsilon: 0.26
790 episode | score: 19.20 | loss: 1.39224 | epsilon: 0.25
800 episode | score: 19.43 | loss: 1.22913 | epsilon: 0.23
810 episode | score: 19.32 | loss: 3.93512 | epsilon: 0.23
820 episode | score: 19.49 | loss: 1.99687 | epsilon: 0.21
830 episode | score: 18.87 | loss: 3.10953 | epsilon: 0.21
840 episode | score: 19.38 | loss: 2.96606 | epsilon: 0.19
850 episode | score: 18.38 | loss: 3.36912 | epsilon: 0.19
860 episode | score: 17.82 | loss: 5.54161 | epsilon: 0.18
870 episode | score: 17.24 | loss: 4.21542 | epsilon: 0.18
880 episode | score: 17.30 | loss: 3.90669 | epsilon: 0.17
890 episode | score: 16.91 | loss: 3.71665 | epsilon: 0.16
900 episode | score: 16.40 | loss: 3.23945 | epsilon: 0.15
910 episode | score: 16.57 | loss: 3.95219 | epsilon: 0.14
920 episode | score: 16.57 | loss: 2.73655 | epsilon: 0.14
930 episode | score: 16.67 | loss: 2.68418 | epsilon: 0.13
940 episode | score: 16.40 | loss: 2.25597 | epsilon: 0.12
950 episode | score: 16.44 | loss: 3.90668 | epsilon: 0.11
960 episode | score: 16.38 | loss: 2.43526 | epsilon: 0.10
970 episode | score: 16.52 | loss: 3.22284 | epsilon: 0.09
980 episode | score: 16.57 | loss: 3.08469 | epsilon: 0.08
990 episode | score: 16.54 | loss: 2.41112 | epsilon: 0.07
1000 episode | score: 16.84 | loss: 1.90483 | epsilon: 0.06
1010 episode | score: 16.96 | loss: 2.36223 | epsilon: 0.05
1020 episode | score: 17.23 | loss: 2.70187 | epsilon: 0.04
1030 episode | score: 18.39 | loss: 2.49543 | epsilon: 0.03
1040 episode | score: 18.78 | loss: 1.87321 | epsilon: 0.02
1050 episode | score: 19.97 | loss: 1.59814 | epsilon: 0.01
1060 episode | score: 18.98 | loss: 1.76323 | epsilon: 0.01
1070 episode | score: 17.99 | loss: 1.91576 | epsilon: 0.01
1080 episode | score: 17.15 | loss: 2.12419 | epsilon: 0.01
1090 episode | score: 16.35 | loss: 1.68404 | epsilon: 0.01
1100 episode | score: 15.76 | loss: 2.42905 | epsilon: 0.01
1110 episode | score: 16.12 | loss: 1.97863 | epsilon: 0.01
1120 episode | score: 15.86 | loss: 0.98794 | epsilon: 0.01
1130 episode | score: 16.44 | loss: 1.49691 | epsilon: 0.01
